case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process
1410;MOULDING_1;MOULDING_MACHINE_1;4973.4457953296;1.1674893944991709;0.0;0.0;1;1;99.10551847662373;experiment;FIFO;0.28;0;variant_1
1417;MOULDING_5;MOULDING_MACHINE_5;4973.515561096975;5.770114973351156;0.0;0.0;1;2;116.08230361086225;experiment;FIFO;0.28;0;variant_4
1419;MOULDING_5;MOULDING_MACHINE_5;4974.580606462194;0.6797458353330512;0.0;0.0;1;3;218.37169307359818;experiment;FIFO;0.28;0;variant_5
1411;MOULDING_1;MOULDING_MACHINE_1;4976.136558534077;2.690763204477662;0.0;0.0;1;4;119.69506605574952;experiment;FIFO;0.28;0;variant_6
1420;MOULDING_4;MOULDING_MACHINE_4;4976.857912996347;2.3851693929855173;0.0;0.0;1;5;144.99355053794443;experiment;FIFO;0.28;0;variant_5
1415;MOULDING_1;MOULDING_MACHINE_1;4977.612538440489;1.4759799064113395;0.0;0.0;1;6;105.38007061243752;experiment;FIFO;0.28;0;variant_4
1418;MOULDING_1;MOULDING_MACHINE_1;4981.358240542386;3.7457021018972227;0.0;0.0;1;7;217.22347134203937;experiment;FIFO;0.28;0;variant_4
1423;MOULDING_3;MOULDING_MACHINE_3;4982.674643075882;4.4439401823765365;0.0;0.0;1;8;95.30069738109887;experiment;FIFO;0.28;0;variant_2
1411;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;4983.590677580071;7.454119045994048;7.454119045994048;7.454119045994048;2;8;112.24094700975547;experiment;FIFO;0.28;0;variant_6
1422;MOULDING_4;MOULDING_MACHINE_4;4985.639609705934;8.781696709586868;0.0;0.0;1;9;202.09647612456592;experiment;FIFO;0.28;0;variant_4
1426;MOULDING_4;MOULDING_MACHINE_4;4988.812508584691;0.06507608164702106;0.0;0.0;1;10;204.0373410666134;experiment;FIFO;0.28;0;variant_1
1421;MOULDING_1;MOULDING_MACHINE_1;4990.011605396122;8.653364853736093;0.0;0.0;1;11;259.22801028072263;experiment;FIFO;0.28;0;variant_5
1416;MOULDING_2;MOULDING_MACHINE_2;4990.452801350374;21.552368579404174;0.0;0.0;1;12;177.5160145202599;experiment;FIFO;0.28;0;variant_3
1424;MOULDING_2;MOULDING_MACHINE_2;4991.819441808765;1.3666404583909753;0.0;0.0;1;13;109.84816031662376;experiment;FIFO;0.28;0;variant_4
1425;MOULDING_2;MOULDING_MACHINE_2;4991.908283485825;0.0888416770603726;0.0;0.0;1;14;147.37173280817387;experiment;FIFO;0.28;0;variant_2
1425;ASSEMBLY_1_5;LINE_5_ASSEMBLY1;4993.540398604438;1.632115118613001;1.632115118613001;1.632115118613001;2;14;145.73961768956087;experiment;FIFO;0.28;0;variant_2
1427;MOULDING_2;MOULDING_MACHINE_2;4995.240533413784;3.332249927958401;0.0;0.0;1;15;152.87264908283487;experiment;FIFO;0.28;0;variant_3
1420;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;4995.315864687563;11.725187107491365;18.457951691215385;18.457951691215385;2;15;126.53559884672904;experiment;FIFO;0.28;0;variant_5
1428;MOULDING_2;MOULDING_MACHINE_2;4995.6870442602285;0.446510846444653;0.0;0.0;1;16;125.52430099185221;experiment;FIFO;0.28;0;variant_2
1427;ASSEMBLY_1_5;LINE_5_ASSEMBLY1;4996.420422089202;1.1798886754177147;1.1798886754177147;1.1798886754177147;2;16;151.69276040741715;experiment;FIFO;0.28;0;variant_3
1416;ASSEMBLY_1_2;LINE_2_ASSEMBLY1;5002.548111631834;12.095310281460115;12.095310281460115;12.095310281460115;2;16;165.42070423879977;experiment;FIFO;0.28;0;variant_3
1429;MOULDING_5;MOULDING_MACHINE_5;5007.055261984513;2.929068922073384;0.0;0.0;1;17;171.33583054293013;experiment;FIFO;0.28;0;variant_2
1430;MOULDING_5;MOULDING_MACHINE_5;5007.402274670074;0.34701268556091236;0.0;0.0;1;18;60.638862348852854;experiment;FIFO;0.28;0;variant_5
1431;MOULDING_3;MOULDING_MACHINE_3;5010.640187093895;0.13829077840637183;0.0;0.0;1;19;203.98903691851592;experiment;FIFO;0.28;0;variant_5
1429;ASSEMBLY_1_4;LINE_4_ASSEMBLY1;5010.75343685068;3.698174866167392;3.698174866167392;3.698174866167392;2;19;167.63765567676273;experiment;FIFO;0.28;0;variant_2
1430;ASSEMBLY_1_5;LINE_5_ASSEMBLY1;5013.451280969546;6.049006299472239;6.049006299472239;6.049006299472239;2;19;54.589856049380614;experiment;FIFO;0.28;0;variant_5
1423;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;5013.709907822782;18.394043135219363;31.035264746899884;31.035264746899884;2;19;64.26543263419899;experiment;FIFO;0.28;0;variant_2
1422;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;5017.973143542612;4.263235719829936;32.333533836677816;32.333533836677816;2;19;169.7629422878881;experiment;FIFO;0.28;0;variant_4
1432;MOULDING_1;MOULDING_MACHINE_1;5018.38768940248;2.4475978811724417;0.0;0.0;1;20;83.11200046686554;experiment;FIFO;0.28;0;variant_4
1433;MOULDING_2;MOULDING_MACHINE_2;5019.800998508553;3.6082129988653833;0.0;0.0;1;21;245.25213267402523;experiment;FIFO;0.28;0;variant_2
1410;ASSEMBLY_1_3;LINE_3_ASSEMBLY1;5020.210854408613;25.663412976720792;46.765059079013554;46.765059079013554;2;21;52.340459397610175;experiment;FIFO;0.28;0;variant_1
1426;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;5021.035039387907;3.061895845295112;32.222530803215705;32.222530803215705;2;21;171.8148102633977;experiment;FIFO;0.28;0;variant_1
1417;ASSEMBLY_1_3;LINE_3_ASSEMBLY1;5023.521826883413;3.31097247480011;50.006265786438234;50.006265786438234;2;21;66.07603782442402;experiment;FIFO;0.28;0;variant_4
1419;ASSEMBLY_1_3;LINE_3_ASSEMBLY1;5023.89722909552;0.37540221210656455;49.316622633326006;49.316622633326006;2;21;169.05507044027217;experiment;FIFO;0.28;0;variant_5
1436;MOULDING_5;MOULDING_MACHINE_5;5024.559318445364;0.8499529279642957;0.0;0.0;1;22;260.0313418687974;experiment;FIFO;0.28;0;variant_4
1434;MOULDING_3;MOULDING_MACHINE_3;5027.963450123594;4.997494326584274;0.0;0.0;1;23;180.42261214135124;experiment;FIFO;0.28;0;variant_2
1415;ASSEMBLY_1_3;LINE_3_ASSEMBLY1;5028.851707612766;4.954478517246571;51.2391691722778;51.2391691722778;2;23;54.14090144015972;experiment;FIFO;0.28;0;variant_4
1435;MOULDING_3;MOULDING_MACHINE_3;5029.132091499944;1.168641376350024;0.0;0.0;1;24;98.35695841767665;experiment;FIFO;0.28;0;variant_2
1418;ASSEMBLY_1_3;LINE_3_ASSEMBLY1;5032.320919922794;3.469212310027615;50.96267938040819;50.96267938040819;2;24;166.26079196163118;experiment;FIFO;0.28;0;variant_4
1432;ASSEMBLY_1_2;LINE_2_ASSEMBLY1;5032.417605694936;14.029916292456619;14.029916292456619;14.029916292456619;2;24;69.08208417440892;experiment;FIFO;0.28;0;variant_4
1438;MOULDING_2;MOULDING_MACHINE_2;5032.6282257085;4.4788492681327625;0.0;0.0;1;25;399.4681325804477;experiment;FIFO;0.28;0;variant_1
1440;MOULDING_2;MOULDING_MACHINE_2;5032.676391517583;0.04816580908300239;0.0;0.0;1;26;286.50862289018824;experiment;FIFO;0.28;0;variant_4
1434;ASSEMBLY_1_4;LINE_4_ASSEMBLY1;5033.093165380616;5.129715257021417;5.129715257021417;5.129715257021417;2;26;175.29289688432982;experiment;FIFO;0.28;0;variant_2
1442;MOULDING_2;MOULDING_MACHINE_2;5034.228445081335;0.43979427622070943;0.0;0.0;1;27;197.4155860027031;experiment;FIFO;0.28;0;variant_6
1437;MOULDING_4;MOULDING_MACHINE_4;5034.716976536214;9.5987636212285;0.0;0.0;1;28;106.94783188329984;experiment;FIFO;0.28;0;variant_2
1424;ASSEMBLY_1_3;LINE_3_ASSEMBLY1;5036.118938626971;3.798018704176684;44.299496818205625;44.299496818205625;2;28;65.54866349841814;experiment;FIFO;0.28;0;variant_4
1439;MOULDING_3;MOULDING_MACHINE_3;5036.217882481077;6.605219727941403;0.0;0.0;1;29;205.97793899100907;experiment;FIFO;0.28;0;variant_1
1444;MOULDING_1;MOULDING_MACHINE_1;5036.991533320339;1.30604687802861;0.0;0.0;1;30;90.06946766746387;experiment;FIFO;0.28;0;variant_4
1441;MOULDING_4;MOULDING_MACHINE_4;5040.10135811709;5.3843815808759246;0.0;0.0;1;31;300.7097421830349;experiment;FIFO;0.28;0;variant_1
1444;ASSEMBLY_1_4;LINE_4_ASSEMBLY1;5040.3736915320005;3.38215821166159;3.38215821166159;3.38215821166159;2;31;86.68730945580228;experiment;FIFO;0.28;0;variant_4
1437;MOULDING_4;MOULDING_MACHINE_4;5041.05691369798;0.9555555808901772;6.339937161766102;6.339937161766102;2;31;100.60789472153374;experiment;FIFO;0.28;0;variant_2
1443;MOULDING_5;MOULDING_MACHINE_5;5042.295843773807;7.469991730434231;0.0;0.0;1;32;210.3338012849299;experiment;FIFO;0.28;0;variant_3
1431;ASSEMBLY_1_3;LINE_3_ASSEMBLY1;5043.023823704536;6.904885077565268;32.38363661064068;32.38363661064068;2;32;171.60540030787524;experiment;FIFO;0.28;0;variant_5
1442;ASSEMBLY_1_2;LINE_2_ASSEMBLY1;5045.448140923054;11.21969584171893;11.21969584171893;11.21969584171893;2;32;186.19589016098416;experiment;FIFO;0.28;0;variant_6
1430;ASSEMBLY_2_2;ASSEMBLY2_LINE_2;5046.025194777246;0.3257818489055353;32.57391380769968;38.62292010717192;3;32;22.015942241680932;experiment;FIFO;0.28;0;variant_5
1445;MOULDING_4;MOULDING_MACHINE_4;5046.808533487903;4.8490964930369955;0.0;0.0;1;33;64.28679488838588;experiment;FIFO;0.28;0;variant_1
1445;ASSEMBLY_1_4;LINE_4_ASSEMBLY1;5047.149383586889;0.34085009898535645;0.34085009898535645;0.34085009898535645;2;33;63.94594478940053;experiment;FIFO;0.28;0;variant_1
1438;ASSEMBLY_1_3;LINE_3_ASSEMBLY1;5047.919329194748;4.89550549021169;15.291103486247266;15.291103486247266;2;33;384.1770290942004;experiment;FIFO;0.28;0;variant_1
1430;SORTING;SORTING_ROBOT_1;5049.328770576982;1.0472686952680306;3.3035757997358814;41.9264959069078;4;33;18.71236644194505;experiment;FIFO;0.28;0;variant_5
1448;MOULDING_1;MOULDING_MACHINE_1;5050.197074270532;1.8298470559229827;0.0;0.0;1;34;85.93103895105196;experiment;FIFO;0.28;0;variant_2
1449;MOULDING_5;MOULDING_MACHINE_5;5050.291421495453;0.6568323407500429;0.0;0.0;1;35;314.8699439595166;experiment;FIFO;0.28;0;variant_6
1423;ASSEMBLY_2_2;ASSEMBLY2_LINE_2;5051.000014545651;4.974819768404814;37.290106722868586;68.32537146976847;3;35;26.9753259113304;experiment;FIFO;0.28;0;variant_2
