case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process
1430;MOULDING;MOULDING_MACHINE_3;5106.393971286497;2.3784706795267994;0.0;0.0;1;1;129.50501008989886;experiment;FIFO;0.28;0;variant_9
1432;MOULDING;MOULDING_MACHINE_2;5110.123997975038;0.6370945045982808;0.0;0.0;1;2;87.75907932124665;experiment;FIFO;0.28;0;variant_18
1433;MOULDING;MOULDING_MACHINE_5;5110.468443961288;0.6348723902410711;0.0;0.0;1;3;213.3619895409538;experiment;FIFO;0.28;0;variant_4
1431;MOULDING;MOULDING_MACHINE_1;5111.03865444805;3.488690405489251;0.0;0.0;1;4;88.77694975727081;experiment;FIFO;0.28;0;variant_4
1431;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;5111.347340761444;0.30868631339399144;0.30868631339399144;0.30868631339399144;2;4;88.46826344387682;experiment;FIFO;0.28;0;variant_4
1432;ASSEMBLY_1_2;LINE_2_ASSEMBLY1;5111.395559132348;1.271561157310316;1.271561157310316;1.271561157310316;2;4;86.48751816393633;experiment;FIFO;0.28;0;variant_18
1435;MOULDING;MOULDING_MACHINE_4;5117.955973150551;3.9805092181450163;0.0;0.0;1;5;92.02855906355944;experiment;FIFO;0.28;0;variant_1
1435;ASSEMBLY_1_3;LINE_3_ASSEMBLY1;5118.087803780388;0.1318306298371681;0.1318306298371681;0.1318306298371681;2;5;91.89672843372227;experiment;FIFO;0.28;0;variant_1
1437;MOULDING;MOULDING_MACHINE_5;5118.584529114293;2.2620562087613507;0.0;0.0;1;6;86.13779841840369;experiment;FIFO;0.28;0;variant_12
1437;ASSEMBLY_1_5;LINE_5_ASSEMBLY1;5119.426950336816;0.8424212225227166;0.8424212225227166;0.8424212225227166;2;6;85.29537719588097;experiment;FIFO;0.28;0;variant_12
1438;MOULDING;MOULDING_MACHINE_1;5119.608752618372;2.257813410043127;0.0;0.0;1;7;86.01165139087789;experiment;FIFO;0.28;0;variant_3
1434;MOULDING;MOULDING_MACHINE_3;5120.947810198377;7.484873320356201;0.0;0.0;1;8;126.60058375224344;experiment;FIFO;0.28;0;variant_1
1430;ASSEMBLY_1_4;LINE_4_ASSEMBLY1;5123.703789224576;10.085697502884614;17.309817938079505;17.309817938079505;2;8;112.19519215181936;experiment;FIFO;0.28;0;variant_9
1436;MOULDING;MOULDING_MACHINE_2;5124.137810799349;8.414608296224287;0.0;0.0;1;9;88.7566029235004;experiment;FIFO;0.28;0;variant_8
1439;MOULDING;MOULDING_MACHINE_4;5126.05801355161;8.10204040105964;0.0;0.0;1;10;96.95949878539068;experiment;FIFO;0.28;0;variant_15
1439;MOULDING;MOULDING_MACHINE_3;5126.088714146964;0.03070059535366454;0.03070059535366454;0.03070059535366454;2;10;96.92879819003701;experiment;FIFO;0.28;0;variant_15
1438;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;5126.3490463500375;6.740293731665588;6.740293731665588;6.740293731665588;2;10;79.2713576592123;experiment;FIFO;0.28;0;variant_3
1441;MOULDING;MOULDING_MACHINE_1;5127.111198812203;5.834939900682002;0.0;0.0;1;11;115.11275341249802;experiment;FIFO;0.28;0;variant_10
1440;MOULDING;MOULDING_MACHINE_5;5127.442543595346;8.858014481053033;0.0;0.0;1;12;96.64804517311677;experiment;FIFO;0.28;0;variant_9
1439;ASSEMBLY_1_1;LINE_1_ASSEMBLY1;5129.499717670297;3.1506713202597894;3.41100352333342;3.4417041186870847;3;12;93.5177946667036;experiment;FIFO;0.28;0;variant_15
