case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process
1414;MOULDING;MOULDING_MACHINE_5;5041.920745223041;3.456941804717644;0.0;0.0;1;1;48.486913010434364;experiment;FIFO;0.28;0;variant_6
1414;ASSEMBLY_1;LINE_ASSEMBLY1_2;5044.391161803952;2.470416580910751;2.470416580910751;2.470416580910751;2;1;46.01649642952361;experiment;FIFO;0.28;0;variant_6
1413;MOULDING;MOULDING_MACHINE_2;5046.590840277774;8.633799477776847;0.0;0.0;1;2;43.633666426195305;experiment;FIFO;0.28;0;variant_5
1413;MOULDING;MOULDING_MACHINE_4;5053.523818269713;6.932977991938969;6.932977991938969;6.932977991938969;2;2;36.700688434256335;experiment;FIFO;0.28;0;variant_5
1417;MOULDING;MOULDING_MACHINE_1;5053.75232314468;0.8620096801623731;0.0;0.0;1;3;38.30847589231962;experiment;FIFO;0.28;0;variant_5
1414;ASSEMBLY_2;ASSEMBLY2_LINE_1;5053.872479645238;0.9178266142871507;9.481317841286;11.95173442219675;3;3;36.53517858823761;experiment;FIFO;0.28;0;variant_6
1417;ASSEMBLY_1;LINE_ASSEMBLY1_5;5054.701439783205;0.9491166385250835;0.9491166385250835;0.9491166385250835;2;3;37.35935925379454;experiment;FIFO;0.28;0;variant_5
1417;ASSEMBLY_2;ASSEMBLY2_LINE_1;5055.982499012461;1.2810592292553338;1.2810592292553338;2.2301758677804173;3;3;36.0783000245392;experiment;FIFO;0.28;0;variant_5
1413;ASSEMBLY_1;LINE_ASSEMBLY1_4;5056.44479584332;2.9209775736071606;2.9209775736071606;9.85395556554613;3;3;33.779710860649175;experiment;FIFO;0.28;0;variant_5
1413;ASSEMBLY_2;ASSEMBLY2_LINE_1;5059.983340084599;3.5385442412789416;3.5385442412789416;13.392499806825072;4;3;30.241166619370233;experiment;FIFO;0.28;0;variant_5
1414;SORTING;SORTING_ROBOT_1;5063.485271037584;0.2173706503253925;9.61279139234648;21.56452581454323;4;3;26.922387195891133;experiment;FIFO;0.28;0;variant_6
1418;MOULDING;MOULDING_MACHINE_2;5064.90332220796;7.010897281165853;0.0;0.0;1;4;38.49881805978748;experiment;FIFO;0.28;0;variant_6
1417;SORTING;SORTING_ROBOT_1;5065.009456311578;1.5241852739936803;9.026957299117385;11.257133166897802;4;4;27.05134272542182;experiment;FIFO;0.28;0;variant_5
1419;MOULDING;MOULDING_MACHINE_4;5065.385101457136;2.6850879294497645;0.0;0.0;1;5;25.80710526794155;experiment;FIFO;0.28;0;variant_2
