case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process;queue_style;hetero
1440;MOULDING;MOULDING_MACHINE_1;5108.67893832513;1.9341452831067727;0.0;0.0;1;1;31.81408052840561;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1440;ASSEMBLY_1;LINE_5_ASSEMBLY1;5110.712599041332;2.0336607162025757;2.0336607162025757;2.0336607162025757;2;1;29.780419812203036;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1440;ASSEMBLY_2;ASSEMBLY2_LINE_1;5118.025132773514;3.707577909036445;7.3125337321816914;9.346194448384267;3;1;22.467886080021344;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1441;MOULDING;MOULDING_MACHINE_1;5119.335168634514;3.0908540521040777;0.0;0.0;1;2;48.01766639979178;experiment;FIFO;0.28;0;variant_5;dedicated;mild_all
1442;MOULDING;MOULDING_MACHINE_3;5128.500484213681;4.106074139956945;0.0;0.0;1;3;19.32913408618242;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1440;SORTING;SORTING_ROBOT_1;5130.366708031079;9.02718162554902;12.341575257564728;21.687769705948995;4;3;10.126310822456617;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1443;MOULDING;MOULDING_MACHINE_3;5132.491194767916;3.9907105542342833;0.0;0.0;1;4;27.263308239325852;experiment;FIFO;0.28;0;variant_9;dedicated;mild_all
1442;ASSEMBLY_1;LINE_1_ASSEMBLY1;5132.772591757928;4.272107544246865;4.272107544246865;4.272107544246865;2;4;15.057026541935556;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1444;MOULDING;MOULDING_MACHINE_5;5133.205759786232;4.939760053750433;0.0;0.0;1;5;57.222153281350074;experiment;FIFO;0.28;0;variant_12;dedicated;mild_all
1445;MOULDING;MOULDING_MACHINE_4;5133.731248807167;1.477619983371369;0.0;0.0;1;6;59.06450415874133;experiment;FIFO;0.28;0;variant_12;dedicated;mild_all
1440;PACKAGING;PACKAGING_LINE_1;5134.010339018108;3.64363098702961;3.64363098702961;25.331400692978605;5;6;6.482679835427007;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1440;INSPECTION_2;INSPECTION_2_1_LINE;5137.691824074821;3.6814850567125177;3.6814850567125177;29.012885749691122;6;6;2.801194778714489;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1442;ASSEMBLY_2;ASSEMBLY2_LINE_2;5138.257923319223;5.485331561294515;5.485331561294515;9.75743910554138;3;6;9.571694980641041;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1443;ASSEMBLY_1;LINE_1_ASSEMBLY1;5138.572371198824;5.799779440895691;6.081176430908272;6.081176430908272;2;6;21.18213180841758;experiment;FIFO;0.28;0;variant_9;dedicated;mild_all
1442;SORTING;SORTING_ROBOT_1;5138.729054381491;0.4711310622678866;0.4711310622678866;10.228570167809266;4;6;9.100563918373155;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1440;INSPECTION_2;INSPECTION_2_2_LINE;5139.67635166167;1.9845275868492536;1.9845275868492536;30.997413336540376;7;6;0.8166671918652355;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1440;INSPECTION_2;INSPECTION_2_3_LINE;5140.493018853535;0.8166671918652355;0.8166671918652355;31.81408052840561;8;5;0.0;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1441;ASSEMBLY_1;LINE_3_ASSEMBLY1;5142.220249297575;21.919810463121394;22.885080663060762;22.885080663060762;2;5;25.132585736731016;experiment;FIFO;0.28;0;variant_5;dedicated;mild_all
1446;MOULDING;MOULDING_MACHINE_3;5143.640994075103;2.3349604683098732;0.0;0.0;1;6;34.64205994756867;experiment;FIFO;0.28;0;variant_4;dedicated;mild_all
1442;PACKAGING;PACKAGING_LINE_3;5143.94236799634;5.21331361484954;5.21331361484954;15.441883782658806;5;6;3.887250303523615;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1442;INSPECTION_2;INSPECTION_2_1_LINE;5143.995542824338;0.053174827998191176;0.053174827998191176;15.495058610656997;6;6;3.834075475525424;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1442;INSPECTION_2;INSPECTION_2_2_LINE;5145.247101007046;1.251558182707413;1.251558182707413;16.74661679336441;7;6;2.582517292818011;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1444;ASSEMBLY_1;LINE_1_ASSEMBLY1;5145.678313770246;7.10594257142202;12.472553984013757;12.472553984013757;2;6;44.74959929733632;experiment;FIFO;0.28;0;variant_12;dedicated;mild_all
1442;INSPECTION_2;INSPECTION_2_3_LINE;5147.829618299864;2.582517292818011;2.582517292818011;19.32913408618242;8;5;0.0;experiment;FIFO;0.28;0;variant_13;dedicated;mild_all
1446;ASSEMBLY_1;LINE_4_ASSEMBLY1;5148.5741367681385;4.933142693035734;4.933142693035734;4.933142693035734;2;5;29.708917254532935;experiment;FIFO;0.28;0;variant_4;dedicated;mild_all
1443;ASSEMBLY_2;ASSEMBLY2_LINE_2;5150.824924872064;12.252553673240072;12.252553673240072;18.333730104148344;3;5;8.929578135177508;experiment;FIFO;0.28;0;variant_9;dedicated;mild_all
1447;MOULDING;MOULDING_MACHINE_5;5150.827564460583;3.271998649377565;0.0;0.0;1;6;41.59997105871025;experiment;FIFO;0.28;0;variant_5;dedicated;mild_all
1441;ASSEMBLY_2;ASSEMBLY2_LINE_1;5152.04369527719;9.823445979614917;9.823445979614917;32.70852664267568;3;6;15.3091397571161;experiment;FIFO;0.28;0;variant_5;dedicated;mild_all
1443;SORTING;SORTING_ROBOT_1;5153.663308833883;2.8383839618190905;2.8383839618190905;21.172114065967435;4;6;6.091194173358417;experiment;FIFO;0.28;0;variant_9;dedicated;mild_all
1449;MOULDING;MOULDING_MACHINE_4;5156.401067030533;2.2838422194236045;0.0;0.0;1;7;29.617821237348835;experiment;FIFO;0.28;0;variant_1;dedicated;mild_all
1444;ASSEMBLY_2;ASSEMBLY2_LINE_2;5157.219021987828;6.394097115763543;11.540708217581596;24.013262201595353;3;7;33.20889107975472;experiment;FIFO;0.28;0;variant_12;dedicated;mild_all
