case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process;queue_style;hetero
1441;MOULDING;MOULDING_MACHINE_4;5111.306192328973;1.6456891828593143;0.0;0.0;1;1;47.96336592459738;experiment;FIFO;0.28;0;variant_6;dedicated;identical
1442;MOULDING;MOULDING_MACHINE_5;5117.6927456938665;3.6186882706260803;0.0;0.0;1;2;129.8888706600319;experiment;FIFO;0.28;0;variant_6;dedicated;identical
1444;MOULDING;MOULDING_MACHINE_2;5117.952638999239;1.0150334424633911;0.0;0.0;1;3;37.204310216532576;experiment;FIFO;0.28;0;variant_4;dedicated;identical
1445;MOULDING;MOULDING_MACHINE_1;5121.00710782772;1.9330900216682494;0.0;0.0;1;4;118.56809294800041;experiment;FIFO;0.28;0;variant_1;dedicated;identical
1443;MOULDING;MOULDING_MACHINE_3;5121.289428542829;4.44590060797691;0.0;0.0;1;5;23.757199440610748;experiment;FIFO;0.28;0;variant_5;dedicated;identical
1443;ASSEMBLY_1;LINE_1_ASSEMBLY1;5123.086290313116;1.7968617702863412;1.7968617702863412;1.7968617702863412;2;5;21.960337670324407;experiment;FIFO;0.28;0;variant_5;dedicated;identical
1446;MOULDING;MOULDING_MACHINE_2;5123.236775678857;0.9552745125802176;0.0;0.0;1;6;172.2162041335232;experiment;FIFO;0.28;0;variant_4;dedicated;identical
1447;MOULDING;MOULDING_MACHINE_3;5127.91751920182;5.316260374300327;0.0;0.0;1;7;111.82445344447751;experiment;FIFO;0.28;0;variant_1;dedicated;identical
1443;ASSEMBLY_2;ASSEMBLY2_LINE_1;5132.017248179048;8.930957865932214;8.930957865932214;10.727819636218555;3;7;13.029379804392192;experiment;FIFO;0.28;0;variant_5;dedicated;identical
1442;ASSEMBLY_1;LINE_3_ASSEMBLY1;5136.20186927612;18.50912358225378;18.50912358225378;18.50912358225378;2;7;111.37974707777812;experiment;FIFO;0.28;0;variant_6;dedicated;identical
1441;ASSEMBLY_1;LINE_2_ASSEMBLY1;5136.541768068193;21.359993396010395;25.235575739219712;25.235575739219712;2;7;22.72779018537767;experiment;FIFO;0.28;0;variant_6;dedicated;identical
1443;SORTING;SORTING_ROBOT_1;5137.522028554768;5.504780375720657;5.504780375720657;16.232600011939212;4;7;7.524599428671536;experiment;FIFO;0.28;0;variant_5;dedicated;identical
