case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process;queue_style;hetero
1459;MOULDING;MOULDING_MACHINE_5;5108.3493670004855;0.15959995303092;0.0;0.0;1;1;45.820070543836664;experiment;FIFO;0.28;0;variant_2;pooled;mild_all
1458;MOULDING;MOULDING_MACHINE_1;5108.56326383325;1.6189767086243592;0.0;0.0;1;2;37.234114795451205;experiment;FIFO;0.28;0;variant_6;pooled;mild_all
1460;MOULDING;MOULDING_MACHINE_4;5110.059777727066;1.0848917388211703;0.0;0.0;1;3;43.33951368709859;experiment;FIFO;0.28;0;variant_4;pooled;mild_all
1458;ASSEMBLY_1;LINE_ASSEMBLY1_5;5112.296912632204;3.733648798954164;3.733648798954164;3.733648798954164;2;3;33.50046599649704;experiment;FIFO;0.28;0;variant_6;pooled;mild_all
1459;ASSEMBLY_1;LINE_ASSEMBLY1_2;5112.389896873747;4.040529873261221;4.040529873261221;4.040529873261221;2;3;41.77954067057544;experiment;FIFO;0.28;0;variant_2;pooled;mild_all
1460;ASSEMBLY_1;LINE_ASSEMBLY1_1;5117.830047811897;7.770270084831282;7.770270084831282;7.770270084831282;2;3;35.569243602267306;experiment;FIFO;0.28;0;variant_4;pooled;mild_all
1458;ASSEMBLY_2;ASSEMBLY2_LINE_2;5119.097053100269;1.370180676100972;6.8001404680644555;10.53378926701862;3;3;26.700325528432586;experiment;FIFO;0.28;0;variant_6;pooled;mild_all
1459;ASSEMBLY_2;ASSEMBLY2_LINE_1;5126.45621446527;8.650727740433467;14.06631759152333;18.10684746478455;3;3;27.713223079052113;experiment;FIFO;0.28;0;variant_2;pooled;mild_all
1461;MOULDING;MOULDING_MACHINE_3;5127.797446590441;5.230019605905909;0.0;0.0;1;4;40.2140899217211;experiment;FIFO;0.28;0;variant_6;pooled;mild_all
1460;ASSEMBLY_2;ASSEMBLY2_LINE_2;5130.211397679577;8.832489771257315;12.381349867680001;20.151619952511282;3;4;23.187893734587306;experiment;FIFO;0.28;0;variant_4;pooled;mild_all
1462;MOULDING;MOULDING_MACHINE_5;5133.451221381574;6.655154921611938;0.0;0.0;1;5;36.050103873129046;experiment;FIFO;0.28;0;variant_1;pooled;mild_all
1464;MOULDING;MOULDING_MACHINE_4;5137.743039313649;0.9577227092049725;0.0;0.0;1;6;27.8111810299215;experiment;FIFO;0.28;0;variant_6;pooled;mild_all
1458;SORTING;SORTING_ROBOT_1;5138.726427978396;2.27877823576182;19.629374878127237;30.163164145145856;4;6;7.070950650305349;experiment;FIFO;0.28;0;variant_6;pooled;mild_all
1465;MOULDING;MOULDING_MACHINE_3;5141.408298914731;2.132961073759361;0.0;0.0;1;7;36.931857294011024;experiment;FIFO;0.28;0;variant_1;pooled;mild_all
1462;ASSEMBLY_1;LINE_ASSEMBLY1_5;5142.062887637671;8.611666256097124;8.611666256097124;8.611666256097124;2;7;27.438437617031923;experiment;FIFO;0.28;0;variant_1;pooled;mild_all
1464;MOULDING;MOULDING_MACHINE_2;5143.78673306512;6.043693751470528;6.043693751470528;6.043693751470528;2;7;21.76748727845097;experiment;FIFO;0.28;0;variant_6;pooled;mild_all
1458;PACKAGING;PACKAGING_LINE_3;5145.797378628701;7.070950650305349;7.070950650305349;37.234114795451205;5;6;0.0;experiment;FIFO;0.28;0;variant_6;pooled;mild_all
1462;ASSEMBLY_2;ASSEMBLY2_LINE_1;5146.3826363478765;4.319748710205204;4.319748710205204;12.931414966302327;3;6;23.11868890682672;experiment;FIFO;0.28;0;variant_1;pooled;mild_all
1463;MOULDING;MOULDING_MACHINE_1;5146.939920248049;16.414445282798624;0.0;0.0;1;7;23.235801752011866;experiment;FIFO;0.28;0;variant_1;pooled;mild_all
1466;MOULDING;MOULDING_MACHINE_5;5147.1414418507575;4.035943005233094;0.0;0.0;1;8;18.00660192761734;experiment;FIFO;0.28;0;variant_1;pooled;mild_all
