case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process
1423;MOULDING;MOULDING_MACHINE_2;5041.439757425949;2.6649750329615927;0.0;0.0;1;1;57.14802725365462;experiment;FIFO;0.28;0;variant_2
1424;MOULDING;MOULDING_MACHINE_3;5054.003336211184;3.0682321598387716;0.0;0.0;1;2;23.919696092186314;experiment;FIFO;0.28;0;variant_2
1424;ASSEMBLY_1;LINE_3_ASSEMBLY1;5055.12050898883;1.1171727776454645;1.1171727776454645;1.1171727776454645;2;2;22.80252331454085;experiment;FIFO;0.28;0;variant_2
1424;ASSEMBLY_2;ASSEMBLY2_LINE_1;5064.889574604923;5.385526494928854;9.76906561609303;10.886238393738495;3;2;13.033457698447819;experiment;FIFO;0.28;0;variant_2
1426;MOULDING;MOULDING_MACHINE_1;5066.21148328728;5.471831511320488;0.0;0.0;1;3;20.06676700191929;experiment;FIFO;0.28;0;variant_4
1426;ASSEMBLY_1;LINE_3_ASSEMBLY1;5067.041923277578;0.8304399902972364;0.8304399902972364;0.8304399902972364;2;3;19.236327011622052;experiment;FIFO;0.28;0;variant_4
1425;MOULDING;MOULDING_MACHINE_4;5068.468844592614;15.945866701022169;0.0;0.0;1;4;52.47919984457167;experiment;FIFO;0.28;0;variant_3
1423;ASSEMBLY_1;LINE_1_ASSEMBLY1;5070.016588637755;12.142627391534006;28.576831211806166;28.576831211806166;2;4;28.571196041848452;experiment;FIFO;0.28;0;variant_2
1426;ASSEMBLY_2;ASSEMBLY2_LINE_1;5072.09686899414;3.9771426399220218;5.054945716562543;5.885385706859779;3;4;14.18138129505951;experiment;FIFO;0.28;0;variant_4
1424;SORTING;SORTING_ROBOT_1;5072.4599199861295;0.21579898188065272;7.570345381206607;18.456583774945102;4;4;5.463112317241212;experiment;FIFO;0.28;0;variant_2
1423;ASSEMBLY_2;ASSEMBLY2_LINE_2;5074.103544019914;4.086955382158521;4.086955382158521;32.66378659396469;3;4;24.48424065968993;experiment;FIFO;0.28;0;variant_2
1424;PACKAGING;PACKAGING_LINE_2;5076.336931303295;3.8770113171658522;3.8770113171658522;22.333595092110954;5;4;1.5861010000753595;experiment;FIFO;0.28;0;variant_2
1424;INSPECTION_1;INSPECTION_1_LINE_1;5076.393854348305;0.05692304500917089;0.05692304500917089;22.390518137120125;6;4;1.5291779550661886;experiment;FIFO;0.28;0;variant_2
1428;MOULDING;MOULDING_MACHINE_2;5076.789227519733;0.3812729237561143;0.0;0.0;1;5;26.57355953134902;experiment;FIFO;0.28;0;variant_3
1424;INSPECTION_2;INSPECTION_2_LINE_1;5077.75001394786;1.3561595995552125;1.3561595995552125;23.746677736675338;7;5;0.1730183555109761;experiment;FIFO;0.28;0;variant_2
1424;INSPECTION_3;INSPECTION_3_LINE_1;5077.923032303371;0.1730183555109761;0.1730183555109761;23.919696092186314;8;4;0.0;experiment;FIFO;0.28;0;variant_2
1425;ASSEMBLY_1;LINE_2_ASSEMBLY1;5078.466337625409;9.997493032795319;9.997493032795319;9.997493032795319;2;4;42.48170681177635;experiment;FIFO;0.28;0;variant_3
1426;SORTING;SORTING_ROBOT_1;5079.888391288683;0.48209119606690365;7.791522294543029;13.676908001402808;4;4;6.389859000516481;experiment;FIFO;0.28;0;variant_4
1426;PACKAGING;PACKAGING_LINE_3;5080.356794891379;0.46840360269561643;0.46840360269561643;14.145311604098424;5;4;5.921455397820864;experiment;FIFO;0.28;0;variant_4
1426;INSPECTION_1;INSPECTION_1_LINE_1;5081.226761569932;0.8699666785532827;0.8699666785532827;15.015278282651707;6;4;5.0514887192675815;experiment;FIFO;0.28;0;variant_4
1426;INSPECTION_2;INSPECTION_2_LINE_1;5082.059097270375;0.8323357004428544;0.8323357004428544;15.847613983094561;7;4;4.219153018824727;experiment;FIFO;0.28;0;variant_4
1423;SORTING;SORTING_ROBOT_1;5082.459912154331;2.5715208656474715;8.356368134416698;41.020154728381385;4;4;16.127872525273233;experiment;FIFO;0.28;0;variant_2
1427;MOULDING;MOULDING_MACHINE_5;5083.693173146013;7.845316105381244;0.0;0.0;1;5;16.513406295435743;experiment;FIFO;0.28;0;variant_6
1427;ASSEMBLY_1;LINE_4_ASSEMBLY1;5084.639266072839;0.946092926826168;0.946092926826168;0.946092926826168;2;5;15.567313368609575;experiment;FIFO;0.28;0;variant_6
1426;INSPECTION_3;INSPECTION_3_LINE_2;5086.2782502892;1.5956539517128476;4.219153018824727;20.06676700191929;8;4;0.0;experiment;FIFO;0.28;0;variant_4
1427;ASSEMBLY_2;ASSEMBLY2_LINE_2;5089.764728834064;5.125462761225208;5.125462761225208;6.071555688051376;3;4;10.441850607384367;experiment;FIFO;0.28;0;variant_6
1428;ASSEMBLY_1;LINE_1_ASSEMBLY1;5090.748649816289;13.959422296556113;13.959422296556113;13.959422296556113;2;4;12.614137234792906;experiment;FIFO;0.28;0;variant_3
1428;ASSEMBLY_2;ASSEMBLY2_LINE_2;5092.131186587753;1.3825367714644017;1.3825367714644017;15.341959068020515;3;4;11.231600463328505;experiment;FIFO;0.28;0;variant_3
1430;MOULDING;MOULDING_MACHINE_1;5093.004086367349;6.679081021715319;0.0;0.0;1;5;25.59024363048775;experiment;FIFO;0.28;0;variant_2
