case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process
1409;MOULDING;MOULDING_MACHINE_2;5209.51054678058;17.89807946952078;0.0;0.0;1;1;72.83693036472869;experiment;FIFO;0.28;0;variant_5
1417;MOULDING;MOULDING_MACHINE_3;5216.578481211134;0.008268513636721764;0.0;0.0;1;2;52.253577526167646;experiment;FIFO;0.28;0;variant_1
1415;MOULDING;MOULDING_MACHINE_1;5216.841373795073;7.41935054309306;0.0;0.0;1;3;79.36122372850969;experiment;FIFO;0.28;0;variant_3
1416;MOULDING;MOULDING_MACHINE_5;5219.940773400228;6.225558179547079;0.0;0.0;1;4;64.58461991123386;experiment;FIFO;0.28;0;variant_4
1417;ASSEMBLY_1;LINE_ASSEMBLY1_2;5223.981891433787;7.403410222652383;7.403410222652383;7.403410222652383;2;4;44.85016730351526;experiment;FIFO;0.28;0;variant_1
1420;MOULDING;MOULDING_MACHINE_3;5225.936200174299;3.010863000601603;0.0;0.0;1;5;62.79297567914455;experiment;FIFO;0.28;0;variant_2
1415;ASSEMBLY_1;LINE_ASSEMBLY1_5;5226.05920697567;9.217833180597154;9.217833180597154;9.217833180597154;2;5;70.14339054791253;experiment;FIFO;0.28;0;variant_3
1417;ASSEMBLY_2;ASSEMBLY2_LINE_2;5227.227140371561;3.2452489377747042;3.2452489377747042;10.648659160427087;3;5;41.60491836574056;experiment;FIFO;0.28;0;variant_1
1418;MOULDING;MOULDING_MACHINE_4;5227.2890803128175;10.35102653920967;0.0;0.0;1;6;58.146310292650014;experiment;FIFO;0.28;0;variant_1
1419;MOULDING;MOULDING_MACHINE_2;5229.820831307993;8.800202089816594;0.0;0.0;1;7;92.38823628279533;experiment;FIFO;0.28;0;variant_3
1409;ASSEMBLY_1;LINE_ASSEMBLY1_1;5230.042249123216;20.53170234263598;20.53170234263598;20.53170234263598;2;7;52.305228022092706;experiment;FIFO;0.28;0;variant_5
1409;ASSEMBLY_2;ASSEMBLY2_LINE_2;5230.102253893818;0.06000477060206322;0.06000477060206322;20.591707113238044;3;7;52.24522325149064;experiment;FIFO;0.28;0;variant_5
1421;MOULDING;MOULDING_MACHINE_1;5230.856270097537;5.697752725124701;0.0;0.0;1;8;61.2832127560996;experiment;FIFO;0.28;0;variant_5
1415;ASSEMBLY_2;ASSEMBLY2_LINE_1;5233.972395756344;7.9131887806734085;7.9131887806734085;17.131021961270562;3;8;62.23020176723912;experiment;FIFO;0.28;0;variant_3
1418;ASSEMBLY_1;LINE_ASSEMBLY1_2;5234.403528417737;7.114448104919575;7.114448104919575;7.114448104919575;2;8;51.03186218773044;experiment;FIFO;0.28;0;variant_1
