case_id;activity;resource;Complete Timestamp;activity_duration;timesincelastevent;timesincecasestart;event_nr;open_cases;remtime;scenario;method;l;simulation_run;process
1417;MOULDING;MOULDING_MACHINE_3;5006.425073155013;1.0684037532982984;0.0;0.0;1;1;115.52121422199161;experiment;FIFO;0.28;0;variant_2
1417;ASSEMBLY_1;LINE_ASSEMBLY1_4;5007.611077757227;1.1860046022138704;1.1860046022138704;1.1860046022138704;2;1;114.33520961977774;experiment;FIFO;0.28;0;variant_2
1419;MOULDING;MOULDING_MACHINE_4;5013.760018229518;4.346890672824884;0.0;0.0;1;2;109.16256697467179;experiment;FIFO;0.28;0;variant_5
1419;ASSEMBLY_1;LINE_ASSEMBLY1_2;5019.034584677298;5.274566447779762;5.274566447779762;5.274566447779762;2;2;103.88800052689203;experiment;FIFO;0.28;0;variant_5
1422;MOULDING;MOULDING_MACHINE_3;5019.369734896686;0.060508692637085915;0.0;0.0;1;3;116.64530912312875;experiment;FIFO;0.28;0;variant_1
1421;MOULDING;MOULDING_MACHINE_5;5020.380930877522;4.493227149393533;0.0;0.0;1;4;115.67722127584057;experiment;FIFO;0.28;0;variant_3
1418;MOULDING;MOULDING_MACHINE_2;5020.793571337521;13.338563204629281;0.0;0.0;1;5;102.42292553306379;experiment;FIFO;0.28;0;variant_3
1424;MOULDING;MOULDING_MACHINE_3;5024.774828171643;3.1508994266432637;0.0;0.0;1;6;113.86912530566588;experiment;FIFO;0.28;0;variant_1
1418;ASSEMBLY_1;LINE_ASSEMBLY1_3;5025.285082794405;4.491511456883927;4.491511456883927;4.491511456883927;2;6;97.93141407617986;experiment;FIFO;0.28;0;variant_3
1422;ASSEMBLY_1;LINE_ASSEMBLY1_1;5025.529883398733;6.160148502046468;6.160148502046468;6.160148502046468;2;6;110.48516062108229;experiment;FIFO;0.28;0;variant_1
1423;MOULDING;MOULDING_MACHINE_4;5026.436289276845;6.8594464303869245;0.0;0.0;1;7;111.0064933216072;experiment;FIFO;0.28;0;variant_4
1425;MOULDING;MOULDING_MACHINE_5;5027.817686338227;1.0728381040180466;0.0;0.0;1;8;108.83332771717323;experiment;FIFO;0.28;0;variant_6
1425;ASSEMBLY_1;LINE_ASSEMBLY1_3;5028.076886412753;0.25920007452623395;0.25920007452623395;0.25920007452623395;2;8;108.574127642647;experiment;FIFO;0.28;0;variant_6
1417;ASSEMBLY_2;ASSEMBLY2_LINE_2;5028.508342427074;1.8860137307074183;20.897264669847573;22.083269272061443;3;8;93.43794494993017;experiment;FIFO;0.28;0;variant_2
