method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start
FIFO,18,0,3016.9997135068265,variant_12,0.0155555555555555,gateway,812,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_2'},
FIFO,18,0,3016.9997135068265,variant_12,0.0155555555555555,queued,812,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},3016.9997135068265
FIFO,18,0,3016.9997135068265,variant_12,0.0155555555555555,running,812,SORTING,SORTING_ROBOT_1,3018.530680522841,,,
FIFO,18,0,3016.9997135068265,variant_16,0.0155555555555555,running,814,ASSEMBLY_2,ASSEMBLY2_LINE_1,3017.505738720514,,,
FIFO,18,0,3017.505738720514,variant_16,0.0155555555555555,gateway,814,QC_AFTER_A2,,,,{'moulding_lane': 'ASSEMBLY_1_5'},
FIFO,18,0,3017.505738720514,variant_16,0.0155555555555555,queued,814,SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},3017.505738720514
FIFO,18,0,3017.505738720514,variant_16,0.0155555555555555,running,818,ASSEMBLY_2,ASSEMBLY2_LINE_1,3020.760027353508,,,
FIFO,18,0,3017.6806906815964,variant_6,0.0155555555555555,START,822,START,,,,{},
FIFO,18,0,3017.6806906815964,variant_6,0.0155555555555555,queued,822,MOULDING,,,,{},3017.6806906815964
FIFO,18,0,3017.6806906815964,variant_6,0.0155555555555555,running,822,MOULDING,MOULDING_MACHINE_3,3017.7451012415268,,,
FIFO,18,0,3017.7451012415268,variant_6,0.0155555555555555,gateway,822,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},
FIFO,18,0,3017.7451012415268,variant_6,0.0155555555555555,queued,822,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},3017.7451012415268
FIFO,18,0,3017.7451012415268,variant_6,0.0155555555555555,running,822,ASSEMBLY_1,LINE_ASSEMBLY1_3,3028.72142981311,,,
FIFO,18,0,3018.530680522841,variant_12,0.0155555555555555,gateway,812,QC_AFTER_SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},
