method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data
FIFO,18,0,3017.4979582453843,variant_12,0.0155555555555555,queued,815,PACKAGING,,,,
FIFO,18,0,3017.4979582453843,variant_12,0.0155555555555555,running,815,PACKAGING,PACKAGING_LINE_1,3019.8085562653782,,
FIFO,18,0,3018.706697861696,variant_2,0.0155555555555555,queued,823,ASSEMBLY_2,,,,
FIFO,18,0,3018.706697861696,variant_2,0.0155555555555555,running,823,ASSEMBLY_2,ASSEMBLY2_LINE_2,3019.1251112458667,,
FIFO,18,0,3019.1251112458667,variant_2,0.0155555555555555,queued,823,SORTING,,,,
FIFO,18,0,3019.1251112458667,variant_2,0.0155555555555555,running,823,SORTING,SORTING_ROBOT,3019.419597045408,,
FIFO,18,0,3019.419597045408,variant_2,0.0155555555555555,queued,823,PACKAGING,,,,
FIFO,18,0,3019.419597045408,variant_2,0.0155555555555555,running,823,PACKAGING,PACKAGING_LINE_3,3024.9399003965286,,
FIFO,18,0,3019.8085562653782,variant_12,0.0155555555555555,COMPLETE,815,END,,,43.79646768362227,
FIFO,18,0,3020.4457417073663,variant_18,0.0155555555555555,COMPLETE,817,END,,,37.0201778051528,
FIFO,18,0,3021.0920614032943,variant_5,0.0155555555555555,START,824,START,,,,{}
FIFO,18,0,3021.0920614032943,variant_5,0.0155555555555555,queued,824,MOULDING,,,,
FIFO,18,0,3021.0920614032943,variant_5,0.0155555555555555,running,824,MOULDING,MOULDING_MACHINE_3,3026.3358352225446,,
FIFO,18,0,3021.1146817551967,variant_10,0.0155555555555555,queued,820,ASSEMBLY_1,,,,
FIFO,18,0,3021.1146817551967,variant_10,0.0155555555555555,running,820,ASSEMBLY_1,LINE_5_ASSEMBLY1,3023.567973017743,,
FIFO,18,0,3021.118650255041,variant_3,0.0155555555555555,START,825,START,,,,{}
FIFO,18,0,3021.118650255041,variant_3,0.0155555555555555,queued,825,MOULDING,,,,
FIFO,18,0,3021.118650255041,variant_3,0.0155555555555555,running,825,MOULDING,MOULDING_MACHINE_4,3023.206294156534,,
FIFO,18,0,3022.0955803571296,variant_12,0.0155555555555555,queued,821,ASSEMBLY_2,,,,
FIFO,18,0,3022.0955803571296,variant_12,0.0155555555555555,running,821,ASSEMBLY_2,ASSEMBLY2_LINE_1,3028.480120573703,,
FIFO,18,0,3023.206294156534,variant_3,0.0155555555555555,queued,825,ASSEMBLY_1,,,,
FIFO,18,0,3023.206294156534,variant_3,0.0155555555555555,running,825,ASSEMBLY_1,LINE_4_ASSEMBLY1,3027.45636573613,,
FIFO,18,0,3023.567973017743,variant_10,0.0155555555555555,queued,820,ASSEMBLY_2,,,,
FIFO,18,0,3023.567973017743,variant_10,0.0155555555555555,running,820,ASSEMBLY_2,ASSEMBLY2_LINE_2,3024.277327631906,,
FIFO,18,0,3024.2533705919577,variant_15,0.0155555555555555,queued,822,ASSEMBLY_1,,,,
FIFO,18,0,3024.2533705919577,variant_15,0.0155555555555555,running,822,ASSEMBLY_1,LINE_2_ASSEMBLY1,3032.202691019725,,
FIFO,18,0,3024.277327631906,variant_10,0.0155555555555555,queued,820,SORTING,,,,
FIFO,18,0,3024.277327631906,variant_10,0.0155555555555555,running,820,SORTING,SORTING_ROBOT,3035.173598688964,,
FIFO,18,0,3024.5997488838902,variant_17,0.0155555555555555,START,826,START,,,,{}
FIFO,18,0,3024.5997488838902,variant_17,0.0155555555555555,queued,826,MOULDING,,,,
FIFO,18,0,3024.5997488838902,variant_17,0.0155555555555555,running,826,MOULDING,MOULDING_MACHINE_2,3024.7671651159685,,
FIFO,18,0,3024.7671651159685,variant_17,0.0155555555555555,queued,826,ASSEMBLY_1,,,,
FIFO,18,0,3024.7671651159685,variant_17,0.0155555555555555,running,826,ASSEMBLY_1,LINE_1_ASSEMBLY1,3030.228462664229,,
FIFO,18,0,3024.9399003965286,variant_2,0.0155555555555555,COMPLETE,823,END,,,11.258639401674827,
FIFO,18,0,3026.3358352225446,variant_5,0.0155555555555555,queued,824,ASSEMBLY_1,,,,
FIFO,18,0,3026.3358352225446,variant_5,0.0155555555555555,running,824,ASSEMBLY_1,LINE_5_ASSEMBLY1,3033.440829287657,,
FIFO,18,0,3027.080309550292,variant_3,0.0155555555555555,queued,818,ASSEMBLY_2,,,,
FIFO,18,0,3027.080309550292,variant_3,0.0155555555555555,running,818,ASSEMBLY_2,ASSEMBLY2_LINE_2,3029.7051753045034,,
FIFO,18,0,3027.45636573613,variant_3,0.0155555555555555,queued,825,ASSEMBLY_2,,,,
FIFO,18,0,3028.480120573703,variant_12,0.0155555555555555,queued,821,SORTING,,,,
FIFO,18,0,3028.480120573703,variant_3,0.0155555555555555,running,825,ASSEMBLY_2,ASSEMBLY2_LINE_1,3042.2637475611127,,
FIFO,18,0,3029.5311943875945,variant_6,0.0155555555555555,START,827,START,,,,{}
FIFO,18,0,3029.5311943875945,variant_6,0.0155555555555555,queued,827,MOULDING,,,,
FIFO,18,0,3029.5311943875945,variant_6,0.0155555555555555,running,827,MOULDING,MOULDING_MACHINE_5,3032.708830460766,,
FIFO,18,0,3029.7051753045034,variant_3,0.0155555555555555,queued,818,SORTING,,,,
FIFO,18,0,3030.228462664229,variant_17,0.0155555555555555,queued,826,ASSEMBLY_2,,,,
FIFO,18,0,3030.228462664229,variant_17,0.0155555555555555,running,826,ASSEMBLY_2,ASSEMBLY2_LINE_2,3034.4344155006675,,
FIFO,18,0,3030.544264928561,variant_12,0.0155555555555555,START,828,START,,,,{}
FIFO,18,0,3030.544264928561,variant_12,0.0155555555555555,queued,828,MOULDING,,,,
FIFO,18,0,3030.544264928561,variant_12,0.0155555555555555,running,828,MOULDING,MOULDING_MACHINE_4,3036.312152379583,,
FIFO,18,0,3032.202691019725,variant_15,0.0155555555555555,queued,822,ASSEMBLY_2,,,,
FIFO,18,0,3032.708830460766,variant_6,0.0155555555555555,queued,827,ASSEMBLY_1,,,,
