method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data
FIFO,18,0,3016.985152964309,variant_18,0.0155555555555555,gateway,813,QC_AFTER_PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_4'}
FIFO,18,0,3016.985152964309,variant_18,0.0155555555555555,COMPLETE,813,END,,,70.42076350858542,
FIFO,18,0,3017.3516275917013,variant_12,0.0155555555555555,START,834,START,,,,{}
FIFO,18,0,3017.3516275917013,variant_12,0.0155555555555555,queued,834,MOULDING,,,,
FIFO,18,0,3017.3516275917013,variant_12,0.0155555555555555,running,834,MOULDING,MOULDING_MACHINE_1,3020.112173240444,,
FIFO,18,0,3017.411274903506,variant_5,0.0155555555555555,running,819,SORTING,SORTING_ROBOT,3019.7119733885747,,
FIFO,18,0,3017.411274903506,variant_18,0.0155555555555555,gateway,821,QC_AFTER_SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_3'}
FIFO,18,0,3017.411274903506,variant_18,0.0155555555555555,queued,821,PACKAGING,,,,
FIFO,18,0,3017.411274903506,variant_18,0.0155555555555555,running,821,PACKAGING,PACKAGING_LINE_3,3018.008848172288,,
FIFO,18,0,3017.819685199646,variant_11,0.0155555555555555,gateway,830,QC_AFTER_ASSEMBLY1_3,,,,{'moulding_lane': 'ASSEMBLY_1_3'}
FIFO,18,0,3017.819685199646,variant_11,0.0155555555555555,queued,830,ASSEMBLY_2,,,,
FIFO,18,0,3018.008848172288,variant_18,0.0155555555555555,gateway,821,QC_AFTER_PACKAGING,,,,{'moulding_lane': 'ASSEMBLY_1_3'}
FIFO,18,0,3018.008848172288,variant_18,0.0155555555555555,COMPLETE,821,END,,,48.12867320885971,
FIFO,18,0,3019.058883948005,variant_14,0.0155555555555555,START,835,START,,,,{}
FIFO,18,0,3019.058883948005,variant_14,0.0155555555555555,queued,835,MOULDING,,,,
FIFO,18,0,3019.058883948005,variant_14,0.0155555555555555,running,835,MOULDING,MOULDING_MACHINE_5,3022.6938113730225,,
FIFO,18,0,3019.08156252563,variant_4,0.0155555555555555,gateway,824,QC_AFTER_ASSEMBLY2,,,,{'moulding_lane': 'ASSEMBLY_1_3'}
FIFO,18,0,3019.08156252563,variant_4,0.0155555555555555,queued,824,SORTING,,,,
FIFO,18,0,3019.08156252563,variant_13,0.0155555555555555,running,827,ASSEMBLY_2,ASSEMBLY2_LINE_2,3023.3757864258746,,
FIFO,18,0,3019.1484113254787,variant_16,0.0155555555555555,gateway,833,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'}
FIFO,18,0,3019.1484113254787,variant_16,0.0155555555555555,gateway,833,ROUTE_TO_A1,,,,{'moulding_lane': 'ASSEMBLY_1_4'}
FIFO,18,0,3019.1484113254787,variant_16,0.0155555555555555,queued,833,ASSEMBLY_1_4,,,,
FIFO,18,0,3019.1484113254787,variant_16,0.0155555555555555,running,833,ASSEMBLY_1_4,LINE_4_ASSEMBLY1,3028.0062398600544,,
FIFO,18,0,3019.7119733885747,variant_10,0.0155555555555555,running,817,SORTING,SORTING_ROBOT,3022.405517565304,,
FIFO,18,0,3019.7119733885747,variant_5,0.0155555555555555,gateway,819,QC_AFTER_SORTING,,,,{'moulding_lane': 'ASSEMBLY_1_2'}
FIFO,18,0,3019.7119733885747,variant_5,0.0155555555555555,queued,819,PACKAGING,,,,
FIFO,18,0,3019.7119733885747,variant_5,0.0155555555555555,running,819,PACKAGING,PACKAGING_LINE_1,3022.876098334447,,
FIFO,18,0,3020.112173240444,variant_12,0.0155555555555555,gateway,834,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'}
FIFO,18,0,3020.112173240444,variant_12,0.0155555555555555,gateway,834,ROUTE_TO_A1,,,,{'moulding_lane': 'ASSEMBLY_1_1'}
FIFO,18,0,3020.112173240444,variant_12,0.0155555555555555,queued,834,ASSEMBLY_1_1,,,,
FIFO,18,0,3020.112173240444,variant_12,0.0155555555555555,running,834,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,3020.424834000027,,
FIFO,18,0,3020.424834000027,variant_12,0.0155555555555555,gateway,834,QC_AFTER_ASSEMBLY1_1,,,,{'moulding_lane': 'ASSEMBLY_1_1'}
FIFO,18,0,3020.424834000027,variant_12,0.0155555555555555,queued,834,ASSEMBLY_2,,,,
FIFO,18,0,3021.0705529756674,variant_5,0.0155555555555555,START,836,START,,,,{}
FIFO,18,0,3021.0705529756674,variant_5,0.0155555555555555,queued,836,MOULDING,,,,
FIFO,18,0,3021.0705529756674,variant_5,0.0155555555555555,running,836,MOULDING,MOULDING_MACHINE_3,3021.9325258057625,,
FIFO,18,0,3021.4595883396228,variant_12,0.0155555555555555,gateway,832,QC_AFTER_ASSEMBLY1_2,,,,{'moulding_lane': 'ASSEMBLY_1_2'}
FIFO,18,0,3021.4595883396228,variant_12,0.0155555555555555,queued,832,ASSEMBLY_2,,,,
