method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero
FIFO,6,0,4961.8675121927,variant_4,0.28,START,1423,START,,,,{},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4961.8675121927,variant_4,0.28,gateway,1423,ROUTE_TO_MOULD,,,,{'mould_lane': 'MOULDING_1'},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4961.8675121927,variant_4,0.28,queued,1423,MOULDING_1,,,,{'mould_lane': 'MOULDING_1'},4961.8675121927,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4961.8675121927,variant_4,0.28,running,1423,MOULDING_1,MOULDING_MACHINE_1,4962.580504659471,,,,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4962.580504659471,variant_4,0.28,gateway,1423,QC_AFTER_MOULDING_1,,,,{'mould_lane': 'MOULDING_1'},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4962.580504659471,variant_4,0.28,gateway,1423,ROUTE_TO_A1,,,,"{'mould_lane': 'MOULDING_1', 'a1_lane': 'ASSEMBLY_1_4'}",,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4962.580504659471,variant_4,0.28,queued,1423,ASSEMBLY_1_4,,,,"{'mould_lane': 'MOULDING_1', 'a1_lane': 'ASSEMBLY_1_4'}",4962.580504659471,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4962.580504659471,variant_4,0.28,running,1423,ASSEMBLY_1_4,LINE_4_ASSEMBLY1,4966.42098440783,,,,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4962.919757251248,variant_4,0.28,START,1424,START,,,,{},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4962.919757251248,variant_4,0.28,gateway,1424,ROUTE_TO_MOULD,,,,{'mould_lane': 'MOULDING_2'},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4962.919757251248,variant_4,0.28,queued,1424,MOULDING_2,,,,{'mould_lane': 'MOULDING_2'},4962.919757251248,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4962.919757251248,variant_4,0.28,running,1424,MOULDING_2,MOULDING_MACHINE_2,4970.457914629774,,,,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4963.393334150621,variant_5,0.28,START,1425,START,,,,{},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4963.393334150621,variant_5,0.28,gateway,1425,ROUTE_TO_MOULD,,,,{'mould_lane': 'MOULDING_4'},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4963.393334150621,variant_5,0.28,queued,1425,MOULDING_4,,,,{'mould_lane': 'MOULDING_4'},4963.393334150621,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4966.42098440783,variant_4,0.28,gateway,1423,QC_AFTER_A1_4,,,,"{'mould_lane': 'MOULDING_1', 'a1_lane': 'ASSEMBLY_1_4'}",,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4966.42098440783,variant_4,0.28,gateway,1423,ROUTE_TO_A2,,,,"{'mould_lane': 'MOULDING_1', 'a1_lane': 'ASSEMBLY_1_4', 'a2_lane': 'ASSEMBLY_2_2'}",,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4966.42098440783,variant_4,0.28,queued,1423,ASSEMBLY_2_2,,,,"{'mould_lane': 'MOULDING_1', 'a1_lane': 'ASSEMBLY_1_4', 'a2_lane': 'ASSEMBLY_2_2'}",4966.42098440783,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4966.774017797291,variant_4,0.28,START,1426,START,,,,{},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4966.774017797291,variant_4,0.28,gateway,1426,ROUTE_TO_MOULD,,,,{'mould_lane': 'MOULDING_4'},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4966.774017797291,variant_4,0.28,queued,1426,MOULDING_4,,,,{'mould_lane': 'MOULDING_4'},4966.774017797291,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4967.648548356811,variant_5,0.28,running,1425,MOULDING_4,MOULDING_MACHINE_4,4968.1294334356535,,,,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4968.1294334356535,variant_5,0.28,gateway,1425,QC_AFTER_MOULDING_4,,,,{'mould_lane': 'MOULDING_4'},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4968.1294334356535,variant_5,0.28,gateway,1425,ROUTE_TO_A1,,,,"{'mould_lane': 'MOULDING_4', 'a1_lane': 'ASSEMBLY_1_4'}",,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4968.1294334356535,variant_5,0.28,queued,1425,ASSEMBLY_1_4,,,,"{'mould_lane': 'MOULDING_4', 'a1_lane': 'ASSEMBLY_1_4'}",4968.1294334356535,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4968.1294334356535,variant_4,0.28,running,1426,MOULDING_4,MOULDING_MACHINE_4,4968.22810629678,,,,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4968.1294334356535,variant_5,0.28,running,1425,ASSEMBLY_1_4,LINE_4_ASSEMBLY1,4977.632143849651,,,,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4968.22810629678,variant_4,0.28,gateway,1426,QC_AFTER_MOULDING_4,,,,{'mould_lane': 'MOULDING_4'},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4968.22810629678,variant_4,0.28,gateway,1426,ROUTE_TO_A1,,,,"{'mould_lane': 'MOULDING_4', 'a1_lane': 'ASSEMBLY_1_4'}",,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4968.22810629678,variant_4,0.28,queued,1426,ASSEMBLY_1_4,,,,"{'mould_lane': 'MOULDING_4', 'a1_lane': 'ASSEMBLY_1_4'}",4968.22810629678,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4970.457914629774,variant_4,0.28,gateway,1424,QC_AFTER_MOULDING_2,,,,{'mould_lane': 'MOULDING_2'},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4970.457914629774,variant_4,0.28,gateway,1424,ROUTE_TO_A1,,,,"{'mould_lane': 'MOULDING_2', 'a1_lane': 'ASSEMBLY_1_2'}",,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4970.457914629774,variant_4,0.28,queued,1424,ASSEMBLY_1_2,,,,"{'mould_lane': 'MOULDING_2', 'a1_lane': 'ASSEMBLY_1_2'}",4970.457914629774,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4970.457914629774,variant_4,0.28,running,1424,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,4972.743222652532,,,,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4972.743222652532,variant_4,0.28,gateway,1424,QC_AFTER_A1_2,,,,"{'mould_lane': 'MOULDING_2', 'a1_lane': 'ASSEMBLY_1_2'}",,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4972.743222652532,variant_4,0.28,gateway,1424,ROUTE_TO_A2,,,,"{'mould_lane': 'MOULDING_2', 'a1_lane': 'ASSEMBLY_1_2', 'a2_lane': 'ASSEMBLY_2_2'}",,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4972.743222652532,variant_4,0.28,queued,1424,ASSEMBLY_2_2,,,,"{'mould_lane': 'MOULDING_2', 'a1_lane': 'ASSEMBLY_1_2', 'a2_lane': 'ASSEMBLY_2_2'}",4972.743222652532,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4974.8466927144445,variant_5,0.28,START,1427,START,,,,{},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4974.8466927144445,variant_5,0.28,gateway,1427,ROUTE_TO_MOULD,,,,{'mould_lane': 'MOULDING_4'},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4974.8466927144445,variant_5,0.28,queued,1427,MOULDING_4,,,,{'mould_lane': 'MOULDING_4'},4974.8466927144445,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4974.8466927144445,variant_5,0.28,running,1427,MOULDING_4,MOULDING_MACHINE_4,4975.796502468378,,,,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4975.796502468378,variant_5,0.28,gateway,1427,QC_AFTER_MOULDING_4,,,,{'mould_lane': 'MOULDING_4'},,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4975.796502468378,variant_5,0.28,gateway,1427,ROUTE_TO_A1,,,,"{'mould_lane': 'MOULDING_4', 'a1_lane': 'ASSEMBLY_1_3'}",,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4975.796502468378,variant_5,0.28,queued,1427,ASSEMBLY_1_3,,,,"{'mould_lane': 'MOULDING_4', 'a1_lane': 'ASSEMBLY_1_3'}",4975.796502468378,0,experiment,dedicated,6,C1,5,1.0,identical
FIFO,6,0,4975.796502468378,variant_5,0.28,running,1427,ASSEMBLY_1_3,LINE_3_ASSEMBLY1,4979.0307576396135,,,,0,experiment,dedicated,6,C1,5,1.0,identical
