method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero
FIFO,6,0,5100.029814355324,variant_5,0.28,START,1437,START,,,,{},,0,experiment,dedicated,6,C1,5,0.99,mild_all
FIFO,6,0,5100.029814355324,variant_5,0.28,gateway,1437,ROUTE_TO_MOULD,,,,{'mould_lane': 'MOULDING_1'},,0,experiment,dedicated,6,C1,5,0.99,mild_all
FIFO,6,0,5100.029814355324,variant_5,0.28,queued,1437,MOULDING_1,,,,{'mould_lane': 'MOULDING_1'},5100.029814355324,0,experiment,dedicated,6,C1,5,0.99,mild_all
FIFO,6,0,5100.029814355324,variant_5,0.28,running,1437,MOULDING_1,MOULDING_MACHINE_1,5101.348175509239,,,,0,experiment,dedicated,6,C1,5,0.99,mild_all
FIFO,6,0,5101.348175509239,variant_5,0.28,gateway,1437,QC_AFTER_MOULDING_1,,,,{'mould_lane': 'MOULDING_1'},,0,experiment,dedicated,6,C1,5,0.99,mild_all
FIFO,6,0,5101.348175509239,variant_5,0.28,gateway,1437,ROUTE_TO_A1,,,,"{'mould_lane': 'MOULDING_1', 'a1_lane': 'ASSEMBLY_1_1'}",,0,experiment,dedicated,6,C1,5,0.99,mild_all
FIFO,6,0,5101.348175509239,variant_5,0.28,queued,1437,ASSEMBLY_1_1,,,,"{'mould_lane': 'MOULDING_1', 'a1_lane': 'ASSEMBLY_1_1'}",5101.348175509239,0,experiment,dedicated,6,C1,5,0.99,mild_all
FIFO,6,0,5101.348175509239,variant_5,0.28,running,1437,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,5105.480399400386,,,,0,experiment,dedicated,6,C1,5,0.99,mild_all
FIFO,6,0,5105.480399400386,variant_5,0.28,gateway,1437,QC_AFTER_A1_1,,,,"{'mould_lane': 'MOULDING_1', 'a1_lane': 'ASSEMBLY_1_1'}",,0,experiment,dedicated,6,C1,5,0.99,mild_all
FIFO,6,0,5105.480399400386,variant_5,0.28,gateway,1437,ROUTE_TO_A2,,,,"{'mould_lane': 'MOULDING_1', 'a1_lane': 'ASSEMBLY_1_1', 'a2_lane': 'ASSEMBLY_2_1'}",,0,experiment,dedicated,6,C1,5,0.99,mild_all
