method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero
FIFO,6,0,5091.478900801858,variant_5,0.28,START,1449,START,,,,{},,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5091.478900801858,variant_5,0.28,queued,1449,MOULDING,,,,{},5091.478900801858,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5091.478900801858,variant_5,0.28,running,1449,MOULDING,MOULDING_MACHINE_5,5091.655024047249,,,,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5091.655024047249,variant_5,0.28,gateway,1449,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5091.655024047249,variant_5,0.28,gateway,1449,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_5', 'a1_lane': 'ASSEMBLY_1_5'}",,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5091.655024047249,variant_5,0.28,queued,1449,ASSEMBLY_1_5,,,,"{'moulding_lane': 'ASSEMBLY_1_5', 'a1_lane': 'ASSEMBLY_1_5'}",5091.655024047249,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5093.164133407663,variant_5,0.28,START,1450,START,,,,{},,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5093.164133407663,variant_5,0.28,queued,1450,MOULDING,,,,{},5093.164133407663,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5093.164133407663,variant_5,0.28,running,1450,MOULDING,MOULDING_MACHINE_3,5094.224666484399,,,,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5094.224666484399,variant_5,0.28,gateway,1450,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5094.224666484399,variant_5,0.28,gateway,1450,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_3', 'a1_lane': 'ASSEMBLY_1_1'}",,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5094.224666484399,variant_5,0.28,queued,1450,ASSEMBLY_1_1,,,,"{'moulding_lane': 'ASSEMBLY_1_3', 'a1_lane': 'ASSEMBLY_1_1'}",5094.224666484399,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5094.224666484399,variant_5,0.28,running,1450,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,5107.535036852877,,,,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5095.586019877953,variant_6,0.28,START,1451,START,,,,{},,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5095.586019877953,variant_6,0.28,queued,1451,MOULDING,,,,{},5095.586019877953,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5095.586019877953,variant_6,0.28,running,1451,MOULDING,MOULDING_MACHINE_2,5099.878133578988,,,,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5098.032783351978,variant_5,0.28,running,1449,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,5101.868614272632,,,,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5099.878133578988,variant_6,0.28,gateway,1451,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5099.878133578988,variant_6,0.28,gateway,1451,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_2'}",,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5099.878133578988,variant_6,0.28,queued,1451,ASSEMBLY_1_2,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_2'}",5099.878133578988,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5099.878133578988,variant_6,0.28,running,1451,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,5141.489874380978,,,,0,experiment,hybrid30,6,C1,5,1.0,identical
FIFO,6,0,5101.868614272632,variant_5,0.28,gateway,1449,QC_AFTER_A1_5,,,,"{'moulding_lane': 'ASSEMBLY_1_5', 'a1_lane': 'ASSEMBLY_1_5'}",,0,experiment,hybrid30,6,C1,5,1.0,identical
