method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero
FIFO,6,0,5038.774782392988,variant_2,0.28,START,1423,START,,,,{},,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5038.774782392988,variant_2,0.28,queued,1423,MOULDING,,,,{},5038.774782392988,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5038.774782392988,variant_2,0.28,running,1423,MOULDING,MOULDING_MACHINE_2,5041.439757425949,,,,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5041.439757425949,variant_2,0.28,gateway,1423,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5041.439757425949,variant_2,0.28,gateway,1423,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5041.439757425949,variant_2,0.28,queued,1423,ASSEMBLY_1_1,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",5041.439757425949,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5050.935104051346,variant_2,0.28,START,1424,START,,,,{},,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5050.935104051346,variant_2,0.28,queued,1424,MOULDING,,,,{},5050.935104051346,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5050.935104051346,variant_2,0.28,running,1424,MOULDING,MOULDING_MACHINE_3,5054.003336211184,,,,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5052.522977891592,variant_3,0.28,START,1425,START,,,,{},,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5052.522977891592,variant_3,0.28,queued,1425,MOULDING,,,,{},5052.522977891592,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5052.522977891592,variant_3,0.28,running,1425,MOULDING,MOULDING_MACHINE_4,5068.468844592614,,,,0,experiment,hybrid30,6,C1,8,0.97,mild_all
FIFO,6,0,5054.003336211184,variant_2,0.28,gateway,1424,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,hybrid30,6,C1,8,0.97,mild_all
