method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero
FIFO,6,0,5082.3864690996015,variant_2,0.28,START,1390,START,,,,{},,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5082.3864690996015,variant_2,0.28,queued,1390,MOULDING,,,,{},5082.3864690996015,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5082.3864690996015,variant_2,0.28,running,1390,MOULDING,MOULDING_MACHINE_3,5091.849350025435,,,,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5083.311942969487,variant_4,0.28,START,1391,START,,,,{},,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5083.311942969487,variant_4,0.28,queued,1391,MOULDING,,,,{},5083.311942969487,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5083.311942969487,variant_4,0.28,running,1391,MOULDING,MOULDING_MACHINE_1,5099.5838868793935,,,,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5085.292905671971,variant_4,0.28,START,1392,START,,,,{},,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5085.292905671971,variant_4,0.28,queued,1392,MOULDING,,,,{},5085.292905671971,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5085.292905671971,variant_4,0.28,running,1392,MOULDING,MOULDING_MACHINE_2,5087.712765549849,,,,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5087.712765549849,variant_4,0.28,gateway,1392,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5087.712765549849,variant_4,0.28,gateway,1392,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_3'}",,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5087.712765549849,variant_4,0.28,queued,1392,ASSEMBLY_1_3,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_3'}",5087.712765549849,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5091.849350025435,variant_2,0.28,gateway,1390,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5091.849350025435,variant_2,0.28,gateway,1390,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_3', 'a1_lane': 'ASSEMBLY_1_2'}",,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5091.849350025435,variant_2,0.28,queued,1390,ASSEMBLY_1_2,,,,"{'moulding_lane': 'ASSEMBLY_1_3', 'a1_lane': 'ASSEMBLY_1_2'}",5091.849350025435,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5099.5838868793935,variant_4,0.28,gateway,1391,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5099.5838868793935,variant_4,0.28,gateway,1391,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_1', 'a1_lane': 'ASSEMBLY_1_5'}",,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5099.5838868793935,variant_4,0.28,queued,1391,ASSEMBLY_1_5,,,,"{'moulding_lane': 'ASSEMBLY_1_1', 'a1_lane': 'ASSEMBLY_1_5'}",5099.5838868793935,0,experiment,hybrid30,6,C1,8,0.99,strong_all
FIFO,6,0,5099.5838868793935,variant_4,0.28,running,1391,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,5107.049660064302,,,,0,experiment,hybrid30,6,C1,8,0.99,strong_all
