method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero
FIFO,18,0,5110.9279267756665,variant_3,0.28,START,1416,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5110.9279267756665,variant_3,0.28,queued,1416,MOULDING,,,,{},5110.9279267756665,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5110.9279267756665,variant_3,0.28,running,1416,MOULDING,MOULDING_MACHINE_5,5118.904650691338,,,,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5111.279588237559,variant_11,0.28,START,1417,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5111.279588237559,variant_11,0.28,queued,1417,MOULDING,,,,{},5111.279588237559,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5111.279588237559,variant_11,0.28,running,1417,MOULDING,MOULDING_MACHINE_4,5113.451891914299,,,,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5112.985375017889,variant_13,0.28,START,1418,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5112.985375017889,variant_13,0.28,queued,1418,MOULDING,,,,{},5112.985375017889,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5112.985375017889,variant_13,0.28,running,1418,MOULDING,MOULDING_MACHINE_3,5115.907346038292,,,,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5113.451891914299,variant_11,0.28,gateway,1417,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5113.451891914299,variant_11,0.28,queued,1417,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5113.451891914299,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.234600796325,variant_3,0.28,START,1419,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.234600796325,variant_3,0.28,queued,1419,MOULDING,,,,{},5115.234600796325,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.234600796325,variant_3,0.28,running,1419,MOULDING,MOULDING_MACHINE_2,5126.689541296615,,,,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.525372610787,variant_11,0.28,running,1417,ASSEMBLY_1,LINE_ASSEMBLY1_1,5115.566616400604,,,,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.566616400604,variant_11,0.28,gateway,1417,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.566616400604,variant_11,0.28,queued,1417,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5115.566616400604,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.745700310555,variant_7,0.28,START,1420,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.745700310555,variant_7,0.28,queued,1420,MOULDING,,,,{},5115.745700310555,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.745700310555,variant_7,0.28,running,1420,MOULDING,MOULDING_MACHINE_1,5116.85710659087,,,,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.907346038292,variant_13,0.28,gateway,1418,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5115.907346038292,variant_13,0.28,queued,1418,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},5115.907346038292,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5116.85710659087,variant_7,0.28,gateway,1420,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5116.85710659087,variant_7,0.28,queued,1420,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_1'},5116.85710659087,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5118.303529349352,variant_13,0.28,running,1418,ASSEMBLY_1,LINE_ASSEMBLY1_1,5128.987394131406,,,,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5118.715846860169,variant_4,0.28,START,1421,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5118.715846860169,variant_4,0.28,queued,1421,MOULDING,,,,{},5118.715846860169,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5118.715846860169,variant_4,0.28,running,1421,MOULDING,MOULDING_MACHINE_4,5122.991066983071,,,,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5118.904650691338,variant_3,0.28,gateway,1416,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5118.904650691338,variant_3,0.28,queued,1416,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5118.904650691338,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5119.644526918073,variant_10,0.28,START,1422,START,,,,{},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5119.644526918073,variant_10,0.28,queued,1422,MOULDING,,,,{},5119.644526918073,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5119.644526918073,variant_10,0.28,running,1422,MOULDING,MOULDING_MACHINE_3,5121.318976353118,,,,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5121.318976353118,variant_10,0.28,gateway,1422,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5121.318976353118,variant_10,0.28,queued,1422,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},5121.318976353118,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5122.991066983071,variant_4,0.28,gateway,1421,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,18,C1,5,0.97,mild_all
FIFO,18,0,5122.991066983071,variant_4,0.28,queued,1421,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5122.991066983071,0,experiment,pooled,18,C1,5,0.97,mild_all
