method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero
FIFO,6,0,5066.041985755562,variant_5,0.28,START,1410,START,,,,{},,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5066.041985755562,variant_5,0.28,queued,1410,MOULDING,,,,{},5066.041985755562,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5066.041985755562,variant_5,0.28,running,1410,MOULDING,MOULDING_MACHINE_2,5069.531074551112,,,,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5067.05868444377,variant_2,0.28,START,1411,START,,,,{},,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5067.05868444377,variant_2,0.28,queued,1411,MOULDING,,,,{},5067.05868444377,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5067.05868444377,variant_2,0.28,running,1411,MOULDING,MOULDING_MACHINE_4,5069.172694806027,,,,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.172694806027,variant_2,0.28,gateway,1411,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.172694806027,variant_2,0.28,queued,1411,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5069.172694806027,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.172694806027,variant_2,0.28,running,1411,ASSEMBLY_1,LINE_ASSEMBLY1_3,5069.25969987627,,,,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.25969987627,variant_2,0.28,gateway,1411,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.25969987627,variant_2,0.28,queued,1411,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5069.25969987627,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.531074551112,variant_5,0.28,gateway,1410,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.531074551112,variant_5,0.28,queued,1410,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},5069.531074551112,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.531074551112,variant_5,0.28,running,1410,ASSEMBLY_1,LINE_ASSEMBLY1_4,5087.636138901938,,,,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.895201140072,variant_3,0.28,START,1412,START,,,,{},,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.895201140072,variant_3,0.28,queued,1412,MOULDING,,,,{},5069.895201140072,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.895201140072,variant_3,0.28,running,1412,MOULDING,MOULDING_MACHINE_1,5085.296659367806,,,,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.957150897712,variant_2,0.28,START,1413,START,,,,{},,0,experiment,pooled,6,C1,5,1.0,strong_all
FIFO,6,0,5069.957150897712,variant_2,0.28,queued,1413,MOULDING,,,,{},5069.957150897712,0,experiment,pooled,6,C1,5,1.0,strong_all
