case_id,split
1418,train
1419,train
1420,train
1421,train
1422,train
1423,train
1424,train
1425,train
1426,train
1427,train
1428,train
1429,train
1430,train
1431,train
1432,train
1433,train
1434,train
1435,train
1436,train
1437,train
1438,train
1439,train
1440,train
1441,train
1442,train
1443,train
1444,train
1445,train
1446,train
1447,train
1448,train
1449,train
1450,train
1451,train
1452,train
1453,train
1454,train
1455,train
1456,train
1457,train
1458,train
1459,train
1460,train
1461,train
1462,train
1463,train
1464,train
1465,train
1466,train
1467,train
1468,train
1469,train
1470,train
1471,train
1472,train
1473,train
1474,train
1475,train
1476,train
1477,train
1478,train
1479,train
1480,train
1481,train
1482,train
1483,train
1484,train
1485,train
1486,train
1487,train
1488,train
1489,train
1490,train
1491,train
1492,train
1493,train
1494,train
1495,train
1496,train
1497,train
1498,train
1499,train
1500,train
1501,train
1502,train
1503,train
1504,train
1505,train
1506,train
1507,train
1508,train
1509,train
1510,train
1511,train
1512,train
1513,train
1514,train
1515,train
1516,train
1517,train
1518,train
1519,train
1520,train
1521,train
1522,train
1523,train
1524,train
1525,train
1526,train
1527,train
1528,train
1529,train
1530,train
1531,train
1532,train
1533,train
1534,train
1535,train
1536,train
1537,train
1538,train
1539,train
1540,train
1541,train
1542,train
1543,train
1544,train
1545,train
1546,train
1547,train
1548,train
1549,train
1550,train
1551,train
1552,train
1553,train
1554,train
1555,train
1556,train
1557,train
1558,train
1559,train
1560,train
1561,train
1562,train
1563,train
1564,train
1565,train
1566,train
1567,train
1568,train
1569,train
1570,train
1571,train
1572,train
1573,train
1574,train
1575,train
1576,train
1577,train
1578,train
1579,train
1580,train
1581,train
1582,train
1583,train
1584,train
1585,train
1586,train
1587,train
1588,train
1589,train
1590,train
1591,train
1592,train
1593,train
1594,train
1595,train
1596,train
1597,train
1598,train
1599,train
1600,train
1601,train
1602,train
1603,train
1604,train
1605,train
1606,train
1607,train
1608,train
1609,train
1610,train
1611,train
1612,train
1613,train
1614,train
1615,train
1616,train
1617,train
1618,train
1619,train
1620,train
1621,train
1622,train
1623,train
1624,train
1625,train
1626,train
1627,train
1628,train
1629,train
1630,train
1631,train
1632,train
1633,train
1634,train
1635,train
1636,train
1637,train
1638,train
1639,train
1640,train
1641,train
1642,train
1643,train
1644,train
1645,train
1646,train
1647,train
1648,train
1649,train
1650,train
1651,train
1652,train
1653,train
1654,train
1655,train
1656,train
1657,train
1658,train
1659,train
1660,train
1661,train
1662,train
1663,train
1664,train
1665,train
1666,train
1667,train
1668,train
1669,train
1670,train
1671,train
1672,train
1673,train
1674,train
1675,train
1676,train
1677,train
1678,train
1679,train
1680,train
1681,train
1682,train
1683,train
1684,train
1685,train
1686,train
1687,train
1688,train
1689,train
1690,train
1691,train
1692,train
1693,train
1694,train
1695,train
1696,train
1697,train
1698,train
1699,train
1700,train
1701,train
1702,train
1703,train
1704,train
1705,train
1706,train
1707,train
1708,train
1709,train
1710,train
1711,train
1712,train
1713,train
1714,train
1715,train
1716,train
1717,train
1718,train
1719,train
1720,train
1721,train
1722,train
1723,train
1724,train
1725,train
1726,train
1727,train
