case_id,activity,resource,timestamp,activity_duration,prefix_index,timesincelastevent,elapsed_time,remaining_time,open_cases,case_start_time,case_complete_time,scenario,method,l,simulation_run,process
1406,MOULDING,MOULDING_MACHINE_3,5052.665835592111,2.3155679999881613,1,0.0,0.0,54.32264058738201,1,5052.665835592111,5106.988476179493,experiment,FIFO,0.28,0,variant_2
1406,ASSEMBLY_1_4,LINE_4_ASSEMBLY1,5055.428238072225,2.7624024801143605,2,2.7624024801143605,2.7624024801143605,51.56023810726765,1,5052.665835592111,5106.988476179493,experiment,FIFO,0.28,0,variant_2
1406,ASSEMBLY_2,ASSEMBLY2_LINE_2,5056.151700459838,0.7234623876129262,3,0.7234623876129262,3.4858648677272868,50.836775719654725,1,5052.665835592111,5106.988476179493,experiment,FIFO,0.28,0,variant_2
1406,SORTING,SORTING_ROBOT_1,5098.165086122634,2.113677028866732,4,42.01338566279628,45.49925053052357,8.823390056858443,12,5052.665835592111,5106.988476179493,experiment,FIFO,0.28,0,variant_2
1406,PACKAGING,PACKAGING_LINE_2,5106.988476179493,8.823390056858443,5,8.823390056858443,54.32264058738201,0.0,13,5052.665835592111,5106.988476179493,experiment,FIFO,0.28,0,variant_2
1407,MOULDING,MOULDING_MACHINE_2,5073.416038198229,15.02393275119175,1,0.0,0.0,100.88830512547065,7,5073.416038198229,5174.3043433237,experiment,FIFO,0.28,0,variant_3
1407,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,5144.35241468347,8.927176655685798,2,70.93637648524054,70.93637648524054,29.951928640230108,18,5073.416038198229,5174.3043433237,experiment,FIFO,0.28,0,variant_3
1407,ASSEMBLY_2,ASSEMBLY2_LINE_1,5151.871750710886,7.519336027416102,3,7.519336027416102,78.45571251265665,22.432592612814005,18,5073.416038198229,5174.3043433237,experiment,FIFO,0.28,0,variant_3
1407,SORTING,SORTING_ROBOT_1,5169.137321170652,5.270514652804195,4,17.265570459766423,95.72128297242307,5.167022153047583,20,5073.416038198229,5174.3043433237,experiment,FIFO,0.28,0,variant_3
1407,PACKAGING,PACKAGING_LINE_2,5174.3043433237,5.167022153047583,5,5.167022153047583,100.88830512547065,0.0,21,5073.416038198229,5174.3043433237,experiment,FIFO,0.28,0,variant_3
1408,MOULDING,MOULDING_MACHINE_4,5063.927417250647,2.8498373450720464,1,0.0,0.0,69.78427778396599,2,5063.927417250647,5133.711695034613,experiment,FIFO,0.28,0,variant_1
1408,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,5120.620920602482,16.705210954812173,2,56.693503351835716,56.693503351835716,13.090774432130274,17,5063.927417250647,5133.711695034613,experiment,FIFO,0.28,0,variant_1
1408,ASSEMBLY_2,ASSEMBLY2_LINE_2,5122.523302910556,1.9023823080733564,3,1.9023823080733564,58.59588565990907,11.188392124056918,19,5063.927417250647,5133.711695034613,experiment,FIFO,0.28,0,variant_1
1408,SORTING,SORTING_ROBOT_1,5132.573636460276,1.4055441005148168,4,10.050333549720563,68.64621920962963,1.1380585743363554,22,5063.927417250647,5133.711695034613,experiment,FIFO,0.28,0,variant_1
1408,PACKAGING,PACKAGING_LINE_3,5133.711695034613,1.0618095739719138,5,1.1380585743363554,69.78427778396599,0.0,19,5063.927417250647,5133.711695034613,experiment,FIFO,0.28,0,variant_1
1409,MOULDING,MOULDING_MACHINE_5,5068.770403439052,3.4555136898434284,1,0.0,0.0,63.879482021588956,3,5068.770403439052,5132.649885460641,experiment,FIFO,0.28,0,variant_1
1409,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,5077.770302462751,8.999899023699072,2,8.999899023699072,8.999899023699072,54.879582997889884,9,5068.770403439052,5132.649885460641,experiment,FIFO,0.28,0,variant_1
1409,ASSEMBLY_2,ASSEMBLY2_LINE_1,5119.151248840373,41.38094637762242,3,41.38094637762242,50.380845401321494,13.498636620267462,17,5068.770403439052,5132.649885460641,experiment,FIFO,0.28,0,variant_1
1409,SORTING,SORTING_ROBOT_1,5129.939305146749,6.851628070477091,4,10.788056306375438,61.16890170769693,2.7105803138920237,21,5068.770403439052,5132.649885460641,experiment,FIFO,0.28,0,variant_1
1409,PACKAGING,PACKAGING_LINE_3,5132.649885460641,2.7105803138920237,5,2.7105803138920237,63.879482021588956,0.0,21,5068.770403439052,5132.649885460641,experiment,FIFO,0.28,0,variant_1
1410,MOULDING,MOULDING_MACHINE_1,5070.738608247728,2.3994472436497745,1,0.0,0.0,66.24870903755345,4,5070.738608247728,5136.987317285281,experiment,FIFO,0.28,0,variant_3
1410,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,5129.756054917097,9.135134314614334,2,59.01744666936884,59.01744666936884,7.231262368184616,21,5070.738608247728,5136.987317285281,experiment,FIFO,0.28,0,variant_3
1410,ASSEMBLY_2,ASSEMBLY2_LINE_1,5132.377254072348,2.621199155250906,3,2.621199155250906,61.63864582461974,4.61006321293371,22,5070.738608247728,5136.987317285281,experiment,FIFO,0.28,0,variant_3
1410,SORTING,SORTING_ROBOT_1,5133.899696043687,0.15397286705592705,4,1.5224419713395037,63.16108779595925,3.0876212415942064,18,5070.738608247728,5136.987317285281,experiment,FIFO,0.28,0,variant_3
1410,PACKAGING,PACKAGING_LINE_3,5136.987317285281,3.0876212415942064,5,3.0876212415942064,66.24870903755345,0.0,17,5070.738608247728,5136.987317285281,experiment,FIFO,0.28,0,variant_3
1411,MOULDING,MOULDING_MACHINE_3,5072.017849860112,3.5061279857773116,1,0.0,0.0,71.55364415798977,6,5072.017849860112,5143.5714940181015,experiment,FIFO,0.28,0,variant_1
1411,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,5135.425238027784,2.9936146133086368,2,63.40738816767225,63.40738816767225,8.146255990317513,19,5072.017849860112,5143.5714940181015,experiment,FIFO,0.28,0,variant_1
1411,ASSEMBLY_2,ASSEMBLY2_LINE_2,5140.048315986043,1.822345572314589,3,4.623077958259273,68.03046612593153,3.52317803205824,18,5072.017849860112,5143.5714940181015,experiment,FIFO,0.28,0,variant_1
1411,SORTING,SORTING_ROBOT_1,5143.297822323198,1.1276056180086016,4,3.249506337154344,71.27997246308587,0.2736716949038964,20,5072.017849860112,5143.5714940181015,experiment,FIFO,0.28,0,variant_1
1411,PACKAGING,PACKAGING_LINE_1,5143.5714940181015,0.2736716949038964,5,0.2736716949038964,71.55364415798977,0.0,18,5072.017849860112,5143.5714940181015,experiment,FIFO,0.28,0,variant_1
1412,MOULDING,MOULDING_MACHINE_4,5071.777729943095,2.6240314745864453,1,0.0,0.0,83.2001158845951,5,5071.777729943095,5154.9778458276905,experiment,FIFO,0.28,0,variant_4
1412,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,5132.431623414475,2.675568497378663,2,60.65389347137989,60.65389347137989,22.54622241321522,22,5071.777729943095,5154.9778458276905,experiment,FIFO,0.28,0,variant_4
1412,ASSEMBLY_2,ASSEMBLY2_LINE_1,5141.773498066154,7.295346311505455,3,9.341874651679063,69.99576812305895,13.204347761536155,20,5071.777729943095,5154.9778458276905,experiment,FIFO,0.28,0,variant_4
1412,SORTING,SORTING_ROBOT_1,5146.9813418434005,2.5530928566140574,4,5.207843777246126,75.20361190030508,7.99650398429003,17,5071.777729943095,5154.9778458276905,experiment,FIFO,0.28,0,variant_4
1412,PACKAGING,PACKAGING_LINE_2,5154.9778458276905,7.99650398429003,5,7.99650398429003,83.2001158845951,0.0,16,5071.777729943095,5154.9778458276905,experiment,FIFO,0.28,0,variant_4
1413,MOULDING,MOULDING_MACHINE_5,5075.414620234863,1.0350024189838223,1,0.0,0.0,37.98170825054967,8,5075.414620234863,5113.396328485413,experiment,FIFO,0.28,0,variant_1
1413,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,5085.103160454649,7.332857991897981,2,9.688540219785864,9.688540219785864,28.29316803076381,9,5075.414620234863,5113.396328485413,experiment,FIFO,0.28,0,variant_1
1413,ASSEMBLY_2,ASSEMBLY2_LINE_2,5086.245676778183,1.142516323534437,3,1.142516323534437,10.831056543320301,27.150651707229372,9,5075.414620234863,5113.396328485413,experiment,FIFO,0.28,0,variant_1
1413,SORTING,SORTING_ROBOT_1,5107.435147938842,1.6580713925213786,4,21.189471160659195,32.020527703979496,5.961180546570176,14,5075.414620234863,5113.396328485413,experiment,FIFO,0.28,0,variant_1
1413,PACKAGING,PACKAGING_LINE_1,5113.396328485413,5.961180546570176,5,5.961180546570176,37.98170825054967,0.0,15,5075.414620234863,5113.396328485413,experiment,FIFO,0.28,0,variant_1
1414,MOULDING,MOULDING_MACHINE_1,5077.016300479645,1.929087542295747,1,0.0,0.0,99.227338763234,9,5077.016300479645,5176.243639242879,experiment,FIFO,0.28,0,variant_5
1414,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,5153.06175738543,8.70934270195994,2,76.0454569057847,76.0454569057847,23.181881857449298,18,5077.016300479645,5176.243639242879,experiment,FIFO,0.28,0,variant_5
1414,ASSEMBLY_2,ASSEMBLY2_LINE_1,5158.291081939392,3.34144112847207,3,5.229324553962215,81.27478145974692,17.952557303487083,17,5077.016300479645,5176.243639242879,experiment,FIFO,0.28,0,variant_5
1414,SORTING,SORTING_ROBOT_1,5174.969819752903,1.8505919299977904,4,16.67873781351136,97.95351927325828,1.2738194899757218,20,5077.016300479645,5176.243639242879,experiment,FIFO,0.28,0,variant_5
1414,PACKAGING,PACKAGING_LINE_2,5176.243639242879,1.2738194899757218,5,1.2738194899757218,99.227338763234,0.0,19,5077.016300479645,5176.243639242879,experiment,FIFO,0.28,0,variant_5
1415,MOULDING,MOULDING_MACHINE_4,5091.648584726565,14.89442648592194,1,0.0,0.0,103.82161596038168,11,5091.648584726565,5195.470200686947,experiment,FIFO,0.28,0,variant_2
1415,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,5166.364909396698,10.947319455103752,2,74.71632467013296,74.71632467013296,29.105291290248715,17,5091.648584726565,5195.470200686947,experiment,FIFO,0.28,0,variant_2
1415,ASSEMBLY_2,ASSEMBLY2_LINE_2,5183.403714197146,16.417711169033282,3,17.038804800447906,91.75512947058087,12.066486489800809,18,5091.648584726565,5195.470200686947,experiment,FIFO,0.28,0,variant_2
1415,SORTING,SORTING_ROBOT_1,5192.008070489672,6.9818381854402105,4,8.604356292526063,100.35948576310693,3.462130197274746,17,5091.648584726565,5195.470200686947,experiment,FIFO,0.28,0,variant_2
1415,PACKAGING,PACKAGING_LINE_3,5195.470200686947,3.462130197274746,5,3.462130197274746,103.82161596038168,0.0,16,5091.648584726565,5195.470200686947,experiment,FIFO,0.28,0,variant_2
1416,MOULDING,MOULDING_MACHINE_3,5092.830458537574,8.724252985336534,1,0.0,0.0,40.86283843538149,12,5092.830458537574,5133.693296972955,experiment,FIFO,0.28,0,variant_5
1416,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,5100.442939780276,7.612481242702415,2,7.612481242702415,7.612481242702415,33.250357192679076,12,5092.830458537574,5133.693296972955,experiment,FIFO,0.28,0,variant_5
1416,ASSEMBLY_2,ASSEMBLY2_LINE_2,5108.855954543065,3.90849842411626,3,8.413014762789317,16.025496005491732,24.83734242988976,14,5092.830458537574,5133.693296972955,experiment,FIFO,0.28,0,variant_5
1416,SORTING,SORTING_ROBOT_1,5121.553242565052,4.091511903829996,4,12.697288021986424,28.722784027478156,12.140054407903335,18,5092.830458537574,5133.693296972955,experiment,FIFO,0.28,0,variant_5
1416,PACKAGING,PACKAGING_LINE_1,5133.693296972955,12.140054407903335,5,12.140054407903335,40.86283843538149,0.0,20,5092.830458537574,5133.693296972955,experiment,FIFO,0.28,0,variant_5
1417,MOULDING,MOULDING_MACHINE_2,5087.944394281848,1.2507215381237984,1,0.0,0.0,91.80675381368746,10,5087.944394281848,5179.751148095535,experiment,FIFO,0.28,0,variant_5
1417,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,5155.417589941594,2.355832556164387,2,67.47319565974612,67.47319565974612,24.33355815394134,16,5087.944394281848,5179.751148095535,experiment,FIFO,0.28,0,variant_5
1417,ASSEMBLY_2,ASSEMBLY2_LINE_1,5161.910307464916,3.6192255255236887,3,6.492717523321517,73.96591318306764,17.840840630619823,16,5087.944394281848,5179.751148095535,experiment,FIFO,0.28,0,variant_5
1417,SORTING,SORTING_ROBOT_1,5176.458996330883,0.17646329218678147,4,14.548688865967051,88.51460204903469,3.292151764652772,18,5087.944394281848,5179.751148095535,experiment,FIFO,0.28,0,variant_5
1417,PACKAGING,PACKAGING_LINE_1,5179.751148095535,3.292151764652772,5,3.292151764652772,91.80675381368746,0.0,17,5087.944394281848,5179.751148095535,experiment,FIFO,0.28,0,variant_5
1418,MOULDING,MOULDING_MACHINE_5,5101.90779069151,1.9489917319233427,1,0.0,0.0,31.82977700228821,13,5101.90779069151,5133.737567693798,experiment,FIFO,0.28,0,variant_5
1418,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,5109.347926689948,7.440135998437654,2,7.440135998437654,7.440135998437654,24.389641003850556,15,5101.90779069151,5133.737567693798,experiment,FIFO,0.28,0,variant_5
1418,ASSEMBLY_2,ASSEMBLY2_LINE_2,5119.163582867765,0.7161241049134333,3,9.8156561778178,17.255792176255454,14.573984826032756,17,5101.90779069151,5133.737567693798,experiment,FIFO,0.28,0,variant_5
1418,SORTING,SORTING_ROBOT_1,5131.168092359761,1.2287872130127653,4,12.004509491996032,29.260301668251486,2.5694753340367242,21,5101.90779069151,5133.737567693798,experiment,FIFO,0.28,0,variant_5
1418,PACKAGING,PACKAGING_LINE_2,5133.737567693798,2.5694753340367242,5,2.5694753340367242,31.82977700228821,0.0,18,5101.90779069151,5133.737567693798,experiment,FIFO,0.28,0,variant_5
1419,MOULDING,MOULDING_MACHINE_1,5107.222210885567,5.853406264563091,1,0.0,0.0,29.27332619207482,14,5107.222210885567,5136.4955370776415,experiment,FIFO,0.28,0,variant_2
1419,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,5118.559190392804,9.21126370285674,2,11.33697950723763,11.33697950723763,17.93634668483719,16,5107.222210885567,5136.4955370776415,experiment,FIFO,0.28,0,variant_2
1419,ASSEMBLY_2,ASSEMBLY2_LINE_1,5123.069652627577,3.918403787203715,3,4.5104622347726036,15.847441742010233,13.425884450064586,19,5107.222210885567,5136.4955370776415,experiment,FIFO,0.28,0,variant_2
