method,l,run,time
FIFO,0.28,0,68.98
FIFO,0.28,0,66.00
FIFO,0.28,0,77.25
FIFO,0.28,0,61.58
FIFO,0.28,0,144.36
FIFO,0.28,0,133.50
FIFO,0.28,0,170.03
FIFO,0.28,0,153.43
FIFO,0.28,0,127.83
FIFO,0.28,0,179.53
FIFO,0.28,0,140.58
FIFO,0.28,0,139.73
FIFO,0.28,0,242.33
FIFO,0.28,0,226.77
FIFO,0.28,0,155.46
FIFO,0.28,0,195.24
FIFO,0.28,0,225.27
FIFO,0.28,0,272.72
FIFO,0.28,0,161.63
FIFO,0.28,0,150.77
FIFO,0.28,0,273.19
FIFO,0.28,0,230.03
FIFO,0.28,0,183.51
FIFO,0.28,0,169.92
FIFO,0.28,0,215.27
FIFO,0.28,0,255.62
FIFO,0.28,0,171.33
FIFO,0.28,0,132.61
FIFO,0.28,0,229.30
FIFO,0.28,0,300.47
FIFO,0.28,0,163.09
FIFO,0.28,0,166.97
FIFO,0.28,0,207.56
FIFO,0.28,0,244.28
FIFO,0.28,0,191.71
FIFO,0.28,0,196.96
FIFO,0.28,0,230.26
FIFO,0.28,0,238.57
FIFO,0.28,0,156.23
FIFO,0.28,0,155.54
FIFO,0.28,0,245.43
FIFO,0.28,0,249.24
FIFO,0.28,0,155.50
FIFO,0.28,0,114.74
FIFO,0.28,0,116.93
FIFO,0.28,0,130.57
FIFO,0.28,0,131.20
FIFO,0.28,0,117.52
FIFO,0.28,0,179.74
FIFO,0.28,0,244.27
FIFO,0.28,0,151.35
FIFO,0.28,0,188.28
FIFO,0.28,0,245.44
FIFO,0.28,0,253.69
FIFO,0.28,0,268.09
FIFO,0.28,0,319.43
FIFO,0.28,0,1044.17
FIFO,0.28,0,200.27
FIFO,0.28,0,330.92
FIFO,0.28,0,285.33
FIFO,0.28,0,138.57
FIFO,0.28,0,146.31
FIFO,0.28,0,134.94
FIFO,0.28,0,119.42
FIFO,0.28,0,136.97
FIFO,0.28,0,126.58
FIFO,0.28,0,209.10
FIFO,0.28,0,211.89
FIFO,0.28,0,208.20
FIFO,0.28,0,191.49
FIFO,0.28,0,177.03
FIFO,0.28,0,182.08
FIFO,0.28,0,275.48
FIFO,0.28,0,298.49
FIFO,0.28,0,283.98
FIFO,0.28,0,275.32
FIFO,0.28,0,266.18
FIFO,0.28,0,290.58
FIFO,0.28,0,141.18
FIFO,0.28,0,142.74
FIFO,0.28,0,190.63
FIFO,0.28,0,148.95
FIFO,0.28,0,136.64
FIFO,0.28,0,170.25
FIFO,0.28,0,211.72
FIFO,0.28,0,230.15
FIFO,0.28,0,259.60
FIFO,0.28,0,213.02
FIFO,0.28,0,209.98
FIFO,0.28,0,251.21
FIFO,0.28,0,343.65
FIFO,0.28,0,347.67
FIFO,0.28,0,394.70
FIFO,0.28,0,306.06
FIFO,0.28,0,315.22
FIFO,0.28,0,362.33
FIFO,0.28,0,131.23
FIFO,0.28,0,107.08
FIFO,0.28,0,178.46
FIFO,0.28,0,203.49
FIFO,0.28,0,298.29
FIFO,0.28,0,298.99
FIFO,0.28,0,164.20
FIFO,0.28,0,131.31
FIFO,0.28,0,239.36
FIFO,0.28,0,219.14
FIFO,0.28,0,345.78
FIFO,0.28,0,333.11
FIFO,0.28,0,182.55
FIFO,0.28,0,175.65
FIFO,0.28,0,288.51
FIFO,0.28,0,297.55
FIFO,0.28,0,423.81
FIFO,0.28,0,217.85
FIFO,0.28,0,135.42
FIFO,0.28,0,154.93
FIFO,0.28,0,125.74
FIFO,0.28,0,254.06
FIFO,0.28,0,295.87
FIFO,0.28,0,221.71
FIFO,0.28,0,447.20
FIFO,0.28,0,365.17
FIFO,0.28,0,391.50
FIFO,0.28,0,212.29
FIFO,0.28,0,221.64
FIFO,0.28,0,207.13
FIFO,0.28,0,366.14
FIFO,0.28,0,268.46
FIFO,0.28,0,288.22
FIFO,0.28,0,610.98
FIFO,0.28,0,539.71
FIFO,0.28,0,564.93
FIFO,0.28,0,260.78
FIFO,0.28,0,242.95
FIFO,0.28,0,246.02
FIFO,0.28,0,463.44
FIFO,0.28,0,431.86
FIFO,0.28,0,485.86
FIFO,0.28,0,806.62
FIFO,0.28,0,807.14
FIFO,0.28,0,938.12
FIFO,0.28,0,123.76
FIFO,0.28,0,139.95
FIFO,0.28,0,134.74
FIFO,0.28,0,305.76
FIFO,0.28,0,259.26
FIFO,0.28,0,279.39
FIFO,0.28,0,381.53
FIFO,0.28,0,271.92
FIFO,0.28,0,619.64
FIFO,0.28,0,180.14
FIFO,0.28,0,173.48
FIFO,0.28,0,183.82
FIFO,0.28,0,321.00
FIFO,0.28,0,1146.03
FIFO,0.28,0,363.51
FIFO,0.28,0,613.21
FIFO,0.28,0,612.91
FIFO,0.28,0,451.04
FIFO,0.28,0,246.86
FIFO,0.28,0,207.81
FIFO,0.28,0,203.13
FIFO,0.28,0,387.09
FIFO,0.28,0,376.15
FIFO,0.28,0,409.73
FIFO,0.28,0,649.18
FIFO,0.28,0,630.99
FIFO,0.28,0,596.80
FIFO,0.28,0,116.32
FIFO,0.28,0,121.15
FIFO,0.28,0,117.09
FIFO,0.28,0,211.95
FIFO,0.28,0,221.59
FIFO,0.28,0,222.79
FIFO,0.28,0,360.06
FIFO,0.28,0,360.83
FIFO,0.28,0,337.19
FIFO,0.28,0,187.21
FIFO,0.28,0,172.46
FIFO,0.28,0,174.49
FIFO,0.28,0,306.75
FIFO,0.28,0,283.66
FIFO,0.28,0,293.76
FIFO,0.28,0,460.20
FIFO,0.28,0,479.33
FIFO,0.28,0,461.16
FIFO,0.28,0,265.94
FIFO,0.28,0,251.63
FIFO,0.28,0,253.32
FIFO,0.28,0,462.80
FIFO,0.28,0,426.58
FIFO,0.28,0,432.26
FIFO,0.28,0,678.90
FIFO,0.28,0,686.34
FIFO,0.28,0,703.65
