method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero
FIFO,6,0,6.420906690296017,variant_4,0.28,START,0,START,,,,{},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,6.420906690296017,variant_4,0.28,queued,0,MOULDING,,,,{},6.420906690296017,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,6.420906690296017,variant_4,0.28,running,0,MOULDING,MOULDING_MACHINE_1,10.010399260374882,,,,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,10.010399260374882,variant_4,0.28,gateway,0,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,10.010399260374882,variant_4,0.28,queued,0,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_1'},10.010399260374882,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,10.010399260374882,variant_4,0.28,running,0,ASSEMBLY_1,LINE_ASSEMBLY1_1,31.654295773167,,,,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,11.12321113289822,variant_6,0.28,START,1,START,,,,{},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,11.12321113289822,variant_6,0.28,queued,1,MOULDING,,,,{},11.12321113289822,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,11.12321113289822,variant_6,0.28,running,1,MOULDING,MOULDING_MACHINE_2,12.958754311755436,,,,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,11.693853118748416,variant_3,0.28,START,2,START,,,,{},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,11.693853118748416,variant_3,0.28,queued,2,MOULDING,,,,{},11.693853118748416,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,11.693853118748416,variant_3,0.28,running,2,MOULDING,MOULDING_MACHINE_3,16.0637371864954,,,,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,12.958754311755436,variant_6,0.28,gateway,1,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,12.958754311755436,variant_6,0.28,queued,1,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_2'},12.958754311755436,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,12.958754311755436,variant_6,0.28,running,1,ASSEMBLY_1,LINE_ASSEMBLY1_2,34.76526810254157,,,,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,15.34188749501037,variant_5,0.28,START,3,START,,,,{},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,15.34188749501037,variant_5,0.28,queued,3,MOULDING,,,,{},15.34188749501037,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,15.34188749501037,variant_5,0.28,running,3,MOULDING,MOULDING_MACHINE_4,22.880757758082,,,,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,16.0637371864954,variant_3,0.28,gateway,2,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,16.0637371864954,variant_3,0.28,queued,2,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},16.0637371864954,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,16.0637371864954,variant_3,0.28,running,2,ASSEMBLY_1,LINE_ASSEMBLY1_3,18.817941726855945,,,,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,18.817941726855945,variant_3,0.28,gateway,2,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,18.817941726855945,variant_3,0.28,queued,2,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_3'},18.817941726855945,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,18.817941726855945,variant_3,0.28,running,2,ASSEMBLY_2,ASSEMBLY2_LINE_1,34.091507949002185,,,,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,18.867896347280723,variant_6,0.28,START,4,START,,,,{},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,18.867896347280723,variant_6,0.28,queued,4,MOULDING,,,,{},18.867896347280723,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,18.867896347280723,variant_6,0.28,running,4,MOULDING,MOULDING_MACHINE_5,22.088358304743117,,,,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,22.088358304743117,variant_6,0.28,gateway,4,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,22.088358304743117,variant_6,0.28,queued,4,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},22.088358304743117,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,22.088358304743117,variant_6,0.28,running,4,ASSEMBLY_1,LINE_ASSEMBLY1_4,26.312752049785622,,,,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,22.880757758082,variant_5,0.28,gateway,3,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,6,C1,5,1.0,mild_all
FIFO,6,0,22.880757758082,variant_5,0.28,queued,3,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},22.880757758082,0,experiment,pooled,6,C1,5,1.0,mild_all
