method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero,open_cases_true
FIFO,6,0,5101.368804621004,variant_2,0.28,START,1419,START,,,,{},,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5101.368804621004,variant_2,0.28,queued,1419,MOULDING,,,,{},5101.368804621004,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5101.368804621004,variant_2,0.28,running,1419,MOULDING,MOULDING_MACHINE_1,5107.222210885567,,,,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5104.180035783978,variant_3,0.28,START,1420,START,,,,{},,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5104.180035783978,variant_3,0.28,queued,1420,MOULDING,,,,{},5104.180035783978,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5104.180035783978,variant_3,0.28,running,1420,MOULDING,MOULDING_MACHINE_2,5106.243861284939,,,,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5104.728513741497,variant_6,0.28,START,1421,START,,,,{},,0,experiment,hybrid30,6,C1,5,1.0,strong_all,20
FIFO,6,0,5104.728513741497,variant_6,0.28,queued,1421,MOULDING,,,,{},5104.728513741497,0,experiment,hybrid30,6,C1,5,1.0,strong_all,20
FIFO,6,0,5104.728513741497,variant_6,0.28,running,1421,MOULDING,MOULDING_MACHINE_4,5109.113212859737,,,,0,experiment,hybrid30,6,C1,5,1.0,strong_all,20
FIFO,6,0,5106.243861284939,variant_3,0.28,queued,1420,ASSEMBLY_1_1,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",5106.243861284939,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5106.243861284939,variant_3,0.28,running,1420,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,5107.821052028495,,,,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5106.243861284939,variant_3,0.28,gateway,1420,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5106.243861284939,variant_3,0.28,gateway,1420,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5107.222210885567,variant_2,0.28,gateway,1419,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,hybrid30,6,C1,5,1.0,strong_all,18
FIFO,6,0,5107.222210885567,variant_2,0.28,gateway,1419,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_1', 'a1_lane': 'ASSEMBLY_1_5'}",,0,experiment,hybrid30,6,C1,5,1.0,strong_all,18
FIFO,6,0,5107.222210885567,variant_2,0.28,queued,1419,ASSEMBLY_1_5,,,,"{'moulding_lane': 'ASSEMBLY_1_1', 'a1_lane': 'ASSEMBLY_1_5'}",5107.222210885567,0,experiment,hybrid30,6,C1,5,1.0,strong_all,18
FIFO,6,0,5107.821052028495,variant_3,0.28,gateway,1420,QC_AFTER_A1_1,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",,0,experiment,hybrid30,6,C1,5,1.0,strong_all,18
FIFO,6,0,5107.821052028495,variant_3,0.28,queued,1420,ASSEMBLY_2,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",5107.821052028495,0,experiment,hybrid30,6,C1,5,1.0,strong_all,18
FIFO,6,0,5109.113212859737,variant_6,0.28,queued,1421,ASSEMBLY_1_5,,,,"{'moulding_lane': 'ASSEMBLY_1_4', 'a1_lane': 'ASSEMBLY_1_5'}",5109.113212859737,0,experiment,hybrid30,6,C1,5,1.0,strong_all,18
FIFO,6,0,5109.113212859737,variant_6,0.28,gateway,1421,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_4', 'a1_lane': 'ASSEMBLY_1_5'}",,0,experiment,hybrid30,6,C1,5,1.0,strong_all,18
FIFO,6,0,5109.113212859737,variant_6,0.28,gateway,1421,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,hybrid30,6,C1,5,1.0,strong_all,18
FIFO,6,0,5109.347926689948,variant_2,0.28,running,1419,ASSEMBLY_1_5,LINE_5_ASSEMBLY1,5118.559190392804,,,,0,experiment,hybrid30,6,C1,5,1.0,strong_all,18
FIFO,6,0,5110.677259381842,variant_1,0.28,START,1422,START,,,,{},,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5110.677259381842,variant_1,0.28,queued,1422,MOULDING,,,,{},5110.677259381842,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5110.677259381842,variant_1,0.28,running,1422,MOULDING,MOULDING_MACHINE_3,5112.225465970326,,,,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5111.844246047976,variant_1,0.28,queued,1423,MOULDING,,,,{},5111.844246047976,0,experiment,hybrid30,6,C1,5,1.0,strong_all,20
FIFO,6,0,5111.844246047976,variant_1,0.28,START,1423,START,,,,{},,0,experiment,hybrid30,6,C1,5,1.0,strong_all,20
FIFO,6,0,5111.844246047976,variant_1,0.28,running,1423,MOULDING,MOULDING_MACHINE_5,5115.2789897387465,,,,0,experiment,hybrid30,6,C1,5,1.0,strong_all,20
FIFO,6,0,5112.225465970326,variant_1,0.28,gateway,1422,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,hybrid30,6,C1,5,1.0,strong_all,20
FIFO,6,0,5112.225465970326,variant_1,0.28,gateway,1422,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_3', 'a1_lane': 'ASSEMBLY_1_2'}",,0,experiment,hybrid30,6,C1,5,1.0,strong_all,20
FIFO,6,0,5112.225465970326,variant_1,0.28,queued,1422,ASSEMBLY_1_2,,,,"{'moulding_lane': 'ASSEMBLY_1_3', 'a1_lane': 'ASSEMBLY_1_2'}",5112.225465970326,0,experiment,hybrid30,6,C1,5,1.0,strong_all,20
FIFO,6,0,5114.114993310996,variant_4,0.28,running,1424,MOULDING,MOULDING_MACHINE_2,5118.699884615145,,,,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
FIFO,6,0,5114.114993310996,variant_4,0.28,queued,1424,MOULDING,,,,{},5114.114993310996,0,experiment,hybrid30,6,C1,5,1.0,strong_all,19
