method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero,open_cases_true
FIFO,6,0,5101.698870586554,variant_2,0.28,START,1463,START,,,,{},,0,experiment,hybrid30,6,C1,5,0.97,identical,27
FIFO,6,0,5101.698870586554,variant_2,0.28,queued,1463,MOULDING,,,,{},5101.698870586554,0,experiment,hybrid30,6,C1,5,0.97,identical,27
FIFO,6,0,5101.698870586554,variant_2,0.28,running,1463,MOULDING,MOULDING_MACHINE_4,5104.080135221129,,,,0,experiment,hybrid30,6,C1,5,0.97,identical,27
FIFO,6,0,5103.293715294112,variant_4,0.28,running,1464,MOULDING,MOULDING_MACHINE_3,5115.936925664421,,,,0,experiment,hybrid30,6,C1,5,0.97,identical,28
FIFO,6,0,5103.293715294112,variant_4,0.28,START,1464,START,,,,{},,0,experiment,hybrid30,6,C1,5,0.97,identical,28
FIFO,6,0,5103.293715294112,variant_4,0.28,queued,1464,MOULDING,,,,{},5103.293715294112,0,experiment,hybrid30,6,C1,5,0.97,identical,28
FIFO,6,0,5104.080135221129,variant_2,0.28,gateway,1463,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,hybrid30,6,C1,5,0.97,identical,28
FIFO,6,0,5104.080135221129,variant_2,0.28,gateway,1463,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_4', 'a1_lane': 'ASSEMBLY_1_4'}",,0,experiment,hybrid30,6,C1,5,0.97,identical,28
FIFO,6,0,5104.080135221129,variant_2,0.28,queued,1463,ASSEMBLY_1_4,,,,"{'moulding_lane': 'ASSEMBLY_1_4', 'a1_lane': 'ASSEMBLY_1_4'}",5104.080135221129,0,experiment,hybrid30,6,C1,5,0.97,identical,28
FIFO,6,0,5104.212500689095,variant_1,0.28,START,1465,START,,,,{},,0,experiment,hybrid30,6,C1,5,0.97,identical,29
FIFO,6,0,5104.212500689095,variant_1,0.28,queued,1465,MOULDING,,,,{},5104.212500689095,0,experiment,hybrid30,6,C1,5,0.97,identical,29
FIFO,6,0,5104.212500689095,variant_1,0.28,running,1465,MOULDING,MOULDING_MACHINE_1,5104.898680973139,,,,0,experiment,hybrid30,6,C1,5,0.97,identical,29
FIFO,6,0,5104.471344022219,variant_4,0.28,START,1466,START,,,,{},,0,experiment,hybrid30,6,C1,5,0.97,identical,30
FIFO,6,0,5104.471344022219,variant_4,0.28,queued,1466,MOULDING,,,,{},5104.471344022219,0,experiment,hybrid30,6,C1,5,0.97,identical,30
