method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero,open_cases_true
FIFO,6,0,5100.638945010568,variant_4,0.28,running,1445,MOULDING,MOULDING_MACHINE_2,5105.380806078692,,,,0,experiment,hybrid30,6,C1,5,0.97,mild_all,27
FIFO,6,0,5100.638945010568,variant_4,0.28,START,1445,START,,,,{},,0,experiment,hybrid30,6,C1,5,0.97,mild_all,27
FIFO,6,0,5100.638945010568,variant_4,0.28,queued,1445,MOULDING,,,,{},5100.638945010568,0,experiment,hybrid30,6,C1,5,0.97,mild_all,27
FIFO,6,0,5100.857609126614,variant_2,0.28,running,1446,MOULDING,MOULDING_MACHINE_5,5100.87770938995,,,,0,experiment,hybrid30,6,C1,5,0.97,mild_all,28
FIFO,6,0,5100.857609126614,variant_2,0.28,START,1446,START,,,,{},,0,experiment,hybrid30,6,C1,5,0.97,mild_all,28
FIFO,6,0,5100.857609126614,variant_2,0.28,queued,1446,MOULDING,,,,{},5100.857609126614,0,experiment,hybrid30,6,C1,5,0.97,mild_all,28
FIFO,6,0,5100.87770938995,variant_2,0.28,gateway,1446,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,hybrid30,6,C1,5,0.97,mild_all,28
FIFO,6,0,5100.87770938995,variant_2,0.28,queued,1446,MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5100.87770938995,0,experiment,hybrid30,6,C1,5,0.97,mild_all,28
FIFO,6,0,5100.87770938995,variant_2,0.28,running,1446,MOULDING,MOULDING_MACHINE_3,5103.960831434233,,,,0,experiment,hybrid30,6,C1,5,0.97,mild_all,28
FIFO,6,0,5103.21453059626,variant_2,0.28,START,1447,START,,,,{},,0,experiment,hybrid30,6,C1,5,0.97,mild_all,27
FIFO,6,0,5103.21453059626,variant_2,0.28,queued,1447,MOULDING,,,,{},5103.21453059626,0,experiment,hybrid30,6,C1,5,0.97,mild_all,27
FIFO,6,0,5103.21453059626,variant_2,0.28,running,1447,MOULDING,MOULDING_MACHINE_4,5110.13179525016,,,,0,experiment,hybrid30,6,C1,5,0.97,mild_all,27
FIFO,6,0,5103.960831434233,variant_2,0.28,gateway,1446,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_3'},,0,experiment,hybrid30,6,C1,5,0.97,mild_all,26
FIFO,6,0,5103.960831434233,variant_2,0.28,gateway,1446,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_3', 'a1_lane': 'ASSEMBLY_1_1'}",,0,experiment,hybrid30,6,C1,5,0.97,mild_all,26
FIFO,6,0,5103.960831434233,variant_2,0.28,queued,1446,ASSEMBLY_1_1,,,,"{'moulding_lane': 'ASSEMBLY_1_3', 'a1_lane': 'ASSEMBLY_1_1'}",5103.960831434233,0,experiment,hybrid30,6,C1,5,0.97,mild_all,26
FIFO,6,0,5103.960831434233,variant_2,0.28,running,1446,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,5119.689263392438,,,,0,experiment,hybrid30,6,C1,5,0.97,mild_all,26
FIFO,6,0,5105.380806078692,variant_4,0.28,gateway,1445,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_2'},,0,experiment,hybrid30,6,C1,5,0.97,mild_all,26
FIFO,6,0,5105.380806078692,variant_4,0.28,gateway,1445,ROUTE_TO_A1,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",,0,experiment,hybrid30,6,C1,5,0.97,mild_all,26
FIFO,6,0,5105.380806078692,variant_4,0.28,queued,1445,ASSEMBLY_1_1,,,,"{'moulding_lane': 'ASSEMBLY_1_2', 'a1_lane': 'ASSEMBLY_1_1'}",5105.380806078692,0,experiment,hybrid30,6,C1,5,0.97,mild_all,26
FIFO,6,0,5107.449284527984,variant_2,0.28,running,1448,MOULDING,MOULDING_MACHINE_1,5107.939911168919,,,,0,experiment,hybrid30,6,C1,5,0.97,mild_all,27
FIFO,6,0,5107.449284527984,variant_2,0.28,START,1448,START,,,,{},,0,experiment,hybrid30,6,C1,5,0.97,mild_all,27
