method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero,open_cases_true
FIFO,6,0,5101.7701846064365,variant_3,0.28,START,1447,START,,,,{},,0,experiment,pooled,6,C1,5,0.97,strong_all,42
FIFO,6,0,5101.7701846064365,variant_3,0.28,queued,1447,MOULDING,,,,{},5101.7701846064365,0,experiment,pooled,6,C1,5,0.97,strong_all,42
FIFO,6,0,5101.7701846064365,variant_3,0.28,running,1447,MOULDING,MOULDING_MACHINE_5,5103.636147585765,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,42
FIFO,6,0,5103.636147585765,variant_3,0.28,gateway,1447,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,6,C1,5,0.97,strong_all,42
FIFO,6,0,5103.636147585765,variant_3,0.28,queued,1447,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5103.636147585765,0,experiment,pooled,6,C1,5,0.97,strong_all,42
FIFO,6,0,5103.636147585765,variant_3,0.28,running,1447,ASSEMBLY_1,LINE_ASSEMBLY1_3,5106.365840460435,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,42
FIFO,6,0,5105.828583138316,variant_6,0.28,START,1448,START,,,,{},,0,experiment,pooled,6,C1,5,0.97,strong_all,41
FIFO,6,0,5105.828583138316,variant_6,0.28,queued,1448,MOULDING,,,,{},5105.828583138316,0,experiment,pooled,6,C1,5,0.97,strong_all,41
FIFO,6,0,5105.828583138316,variant_6,0.28,running,1448,MOULDING,MOULDING_MACHINE_1,5105.974700305047,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,41
FIFO,6,0,5105.974700305047,variant_6,0.28,gateway,1448,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,6,C1,5,0.97,strong_all,41
FIFO,6,0,5105.974700305047,variant_6,0.28,queued,1448,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_1'},5105.974700305047,0,experiment,pooled,6,C1,5,0.97,strong_all,41
FIFO,6,0,5105.974700305047,variant_6,0.28,running,1448,ASSEMBLY_1,LINE_ASSEMBLY1_1,5116.809401275695,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,41
FIFO,6,0,5106.365840460435,variant_3,0.28,gateway,1447,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,6,C1,5,0.97,strong_all,41
FIFO,6,0,5106.365840460435,variant_3,0.28,queued,1447,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5106.365840460435,0,experiment,pooled,6,C1,5,0.97,strong_all,41
FIFO,6,0,5106.95197258841,variant_5,0.28,running,1449,MOULDING,MOULDING_MACHINE_4,5107.9584622125385,,,,0,experiment,pooled,6,C1,5,0.97,strong_all,41
FIFO,6,0,5106.95197258841,variant_5,0.28,queued,1449,MOULDING,,,,{},5106.95197258841,0,experiment,pooled,6,C1,5,0.97,strong_all,41
