method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,resource,end_time,cycle_time,data,queue_start,run,scenario,queue_style,variant_count,count_preset,activity_total,qc_pass,hetero,open_cases_true
FIFO,6,0,5103.504536010502,variant_6,0.28,queued,1450,MOULDING,,,,{},5103.504536010502,0,experiment,pooled,6,C1,5,0.99,identical,36
FIFO,6,0,5103.504536010502,variant_6,0.28,START,1450,START,,,,{},,0,experiment,pooled,6,C1,5,0.99,identical,36
FIFO,6,0,5103.504536010502,variant_6,0.28,running,1450,MOULDING,MOULDING_MACHINE_5,5106.526062431883,,,,0,experiment,pooled,6,C1,5,0.99,identical,36
FIFO,6,0,5106.224673447785,variant_2,0.28,running,1451,MOULDING,MOULDING_MACHINE_4,5111.71863384298,,,,0,experiment,pooled,6,C1,5,0.99,identical,35
FIFO,6,0,5106.224673447785,variant_2,0.28,queued,1451,MOULDING,,,,{},5106.224673447785,0,experiment,pooled,6,C1,5,0.99,identical,35
FIFO,6,0,5106.224673447785,variant_2,0.28,START,1451,START,,,,{},,0,experiment,pooled,6,C1,5,0.99,identical,35
FIFO,6,0,5106.526062431883,variant_6,0.28,gateway,1450,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,6,C1,5,0.99,identical,35
FIFO,6,0,5106.526062431883,variant_6,0.28,queued,1450,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5106.526062431883,0,experiment,pooled,6,C1,5,0.99,identical,35
FIFO,6,0,5106.835737816103,variant_6,0.28,running,1450,ASSEMBLY_1,LINE_ASSEMBLY1_5,5109.864490779897,,,,0,experiment,pooled,6,C1,5,0.99,identical,34
FIFO,6,0,5109.864490779897,variant_6,0.28,gateway,1450,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_5'},,0,experiment,pooled,6,C1,5,0.99,identical,33
FIFO,6,0,5109.864490779897,variant_6,0.28,queued,1450,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_5'},5109.864490779897,0,experiment,pooled,6,C1,5,0.99,identical,33
FIFO,6,0,5111.71863384298,variant_2,0.28,gateway,1451,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,6,C1,5,0.99,identical,33
FIFO,6,0,5111.71863384298,variant_2,0.28,queued,1451,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5111.71863384298,0,experiment,pooled,6,C1,5,0.99,identical,33
FIFO,6,0,5111.71863384298,variant_2,0.28,running,1451,ASSEMBLY_1,LINE_ASSEMBLY1_4,5115.789195918767,,,,0,experiment,pooled,6,C1,5,0.99,identical,33
FIFO,6,0,5113.881420164397,variant_6,0.28,START,1452,START,,,,{},,0,experiment,pooled,6,C1,5,0.99,identical,32
FIFO,6,0,5113.881420164397,variant_6,0.28,queued,1452,MOULDING,,,,{},5113.881420164397,0,experiment,pooled,6,C1,5,0.99,identical,32
FIFO,6,0,5113.881420164397,variant_6,0.28,running,1452,MOULDING,MOULDING_MACHINE_1,5120.525584480599,,,,0,experiment,pooled,6,C1,5,0.99,identical,32
FIFO,6,0,5115.789195918767,variant_2,0.28,gateway,1451,QC_AFTER_A1,,,,{'moulding_lane': 'ASSEMBLY_1_4'},,0,experiment,pooled,6,C1,5,0.99,identical,32
FIFO,6,0,5115.789195918767,variant_2,0.28,queued,1451,ASSEMBLY_2,,,,{'moulding_lane': 'ASSEMBLY_1_4'},5115.789195918767,0,experiment,pooled,6,C1,5,0.99,identical,32
FIFO,6,0,5120.525584480599,variant_6,0.28,gateway,1452,QC_AFTER_MOULDING,,,,{'moulding_lane': 'ASSEMBLY_1_1'},,0,experiment,pooled,6,C1,5,0.99,identical,30
FIFO,6,0,5120.525584480599,variant_6,0.28,queued,1452,ASSEMBLY_1,,,,{'moulding_lane': 'ASSEMBLY_1_1'},5120.525584480599,0,experiment,pooled,6,C1,5,0.99,identical,30
