case_id,cycle_time_minutes
0,4.666666666666666e-10
1,7.166666666666667e-10
2,4e-10
3,9e-10
4,5.666666666666667e-10
5,7.666666666666667e-10
6,5.833333333333334e-10
7,1.15e-09
8,7.833333333333333e-10
9,8.833333333333333e-10
10,1.5e-09
11,6.333333333333334e-10
12,1.3499999999999999e-09
13,1.3499999999999999e-09
14,7.833333333333333e-10
15,5.333333333333334e-10
16,5.666666666666667e-10
17,8.166666666666667e-10
18,7e-10
19,5.333333333333334e-10
20,6.166666666666667e-10
21,7.5e-10
22,9e-10
23,1.3166666666666667e-09
24,9.333333333333332e-10
25,5.833333333333334e-10
26,6.666666666666666e-10
27,7e-10
28,1.2333333333333334e-09
29,1.0166666666666667e-09
30,9.666666666666666e-10
31,1.2166666666666668e-09
32,9.5e-10
33,5.833333333333334e-10
34,2.4999999999999996e-10
35,7.666666666666667e-10
36,5.666666666666667e-10
37,5.5e-10
38,4.833333333333333e-10
39,5.166666666666666e-10
40,6.666666666666666e-10
41,3.8333333333333335e-10
42,3.5e-10
43,5.166666666666666e-10
44,1.8333333333333332e-10
45,4.999999999999999e-10
46,9.833333333333332e-10
47,4.666666666666666e-10
48,4e-10
49,1.0833333333333333e-09
50,1.8333333333333332e-10
51,3.333333333333333e-10
52,6.333333333333334e-10
53,8.5e-10
54,8e-10
55,5.833333333333334e-10
56,8.333333333333332e-10
57,9.999999999999999e-10
58,5.5e-10
59,1.1833333333333334e-09
60,1.1e-09
61,6.166666666666667e-10
62,2.05e-09
63,9e-10
64,6.666666666666666e-10
65,9.333333333333332e-10
66,6e-10
67,5.5e-10
68,8.5e-10
69,8e-10
70,8.5e-10
71,9e-10
72,5.5e-10
73,4.999999999999999e-10
74,1.55e-09
75,5.833333333333334e-10
76,6.333333333333334e-10
77,1.8666666666666664e-09
78,2.05e-09
79,7.333333333333333e-10
80,1.4166666666666665e-09
81,7.5e-10
82,1.3499999999999999e-09
83,1.2333333333333334e-09
84,2e-10
85,1.9833333333333333e-09
86,1.2e-09
87,1.7666666666666666e-09
88,4e-10
89,1.6e-09
90,9.166666666666667e-10
91,1.9166666666666665e-09
92,9.999999999999999e-10
93,7.333333333333333e-10
94,1.15e-09
95,1.2833333333333335e-09
96,1.8833333333333332e-09
97,2.016666666666667e-09
98,7e-10
99,1.9166666666666665e-09
100,7.5e-10
101,2.5333333333333337e-09
102,1.6e-09
103,8.833333333333333e-10
104,1.3166666666666667e-09
105,2.4166666666666664e-09
106,6.333333333333334e-10
107,6.666666666666666e-10
108,1.3166666666666667e-09
109,1.4166666666666665e-09
110,1.2666666666666668e-09
111,1.7166666666666665e-09
112,1.0166666666666667e-09
113,1.7e-09
114,1.4666666666666666e-09
115,1.45e-09
116,1.5333333333333334e-09
117,1.5333333333333334e-09
118,1.0166666666666667e-09
