method,l,run,time
FIFO,0.2,0,2.26
FIFO,0.1,0,4.92
FIFO,0.1,1,4.68
FIFO,0.1,2,7.32
FIFO,0.1,3,6.24
FIFO,0.1,4,4.52
FIFO,0.1,5,5.67
FIFO,0.1,6,5.96
FIFO,0.1,7,7.32
FIFO,0.1,8,3.95
FIFO,0.1,9,4.63
FIFO,0.1,10,6.65
FIFO,0.1,11,5.44
FIFO,0.1,12,7.51
FIFO,0.1,13,5.23
FIFO,0.1,14,5.79
FIFO,0.1,15,7.04
FIFO,0.1,16,3.87
FIFO,0.1,17,6.12
FIFO,0.1,18,4.93
FIFO,0.1,19,3.82
FIFO,0.1,20,3.91
FIFO,0.1,21,5.20
FIFO,0.1,22,6.32
FIFO,0.1,23,5.00
FIFO,0.1,24,4.59
FIFO,0.1,25,4.43
FIFO,0.1,26,5.34
FIFO,0.1,27,4.85
FIFO,0.1,28,4.07
FIFO,0.1,29,3.50
FIFO,0.1,0,4.07
FIFO,0.1,1,2.50
FIFO,0.1,2,3.60
FIFO,0.1,3,3.11
FIFO,0.1,4,3.04
FIFO,0.1,5,4.98
FIFO,0.1,6,3.44
FIFO,0.1,7,4.52
FIFO,0.1,8,3.30
FIFO,0.1,9,4.31
FIFO,0.1,10,3.87
FIFO,0.1,11,2.44
FIFO,0.1,12,3.63
FIFO,0.1,13,3.86
FIFO,0.1,14,2.10
FIFO,0.1,15,3.27
FIFO,0.1,16,3.59
FIFO,0.1,17,4.16
FIFO,0.1,18,2.29
FIFO,0.1,19,5.60
FIFO,0.1,20,3.28
FIFO,0.1,21,3.06
FIFO,0.1,22,2.95
FIFO,0.1,23,2.87
FIFO,0.1,24,2.60
FIFO,0.1,25,4.52
FIFO,0.1,26,2.44
FIFO,0.1,27,3.59
FIFO,0.1,28,2.68
FIFO,0.1,29,3.18
FIFO,0.2,0,16.16
FIFO,0.2,1,11.81
FIFO,0.2,2,13.76
FIFO,0.2,3,10.74
FIFO,0.2,4,14.07
FIFO,0.2,5,13.19
FIFO,0.2,6,10.16
FIFO,0.2,7,9.36
FIFO,0.2,8,9.93
FIFO,0.2,9,13.43
FIFO,0.2,10,9.49
FIFO,0.2,11,11.30
FIFO,0.2,12,11.75
FIFO,0.2,13,11.77
FIFO,0.2,14,10.67
FIFO,0.2,15,11.46
FIFO,0.2,16,10.83
FIFO,0.2,17,13.26
FIFO,0.2,18,12.22
FIFO,0.2,19,12.59
FIFO,0.2,20,9.82
FIFO,0.2,21,14.10
FIFO,0.2,22,12.29
FIFO,0.2,23,15.89
FIFO,0.2,24,13.25
FIFO,0.2,25,11.23
FIFO,0.2,26,9.75
FIFO,0.2,27,8.96
FIFO,0.2,28,8.91
FIFO,0.2,29,7.24
FIFO,0.2,0,5.78
FIFO,0.2,1,6.50
FIFO,0.2,2,7.92
FIFO,0.2,3,8.05
FIFO,0.2,4,7.46
FIFO,0.2,5,7.66
FIFO,0.2,6,8.53
FIFO,0.2,7,9.63
FIFO,0.2,8,6.60
FIFO,0.2,9,6.68
FIFO,0.2,10,7.86
FIFO,0.2,11,5.36
FIFO,0.2,12,8.10
FIFO,0.2,13,9.72
FIFO,0.2,14,10.68
FIFO,0.2,15,8.59
FIFO,0.2,16,10.83
FIFO,0.2,17,6.93
FIFO,0.2,18,9.03
FIFO,0.2,19,7.60
FIFO,0.2,20,6.99
FIFO,0.2,21,7.08
FIFO,0.2,22,7.12
FIFO,0.2,23,10.85
FIFO,0.2,24,5.16
FIFO,0.2,25,8.92
FIFO,0.2,26,7.88
FIFO,0.2,27,8.47
FIFO,0.2,28,6.79
FIFO,0.2,29,6.33
FIFO,0.3,0,28.64
FIFO,0.3,1,29.17
FIFO,0.3,2,20.33
FIFO,0.3,3,20.59
FIFO,0.3,4,20.96
FIFO,0.3,5,25.93
FIFO,0.3,6,21.06
FIFO,0.3,7,21.25
FIFO,0.3,8,24.33
FIFO,0.3,9,22.49
FIFO,0.3,10,25.35
FIFO,0.3,11,25.11
FIFO,0.3,12,24.78
FIFO,0.3,13,22.83
FIFO,0.3,14,27.43
FIFO,0.3,15,27.56
FIFO,0.3,16,26.99
FIFO,0.3,17,28.44
FIFO,0.3,18,31.71
FIFO,0.3,19,30.32
FIFO,0.3,20,25.98
FIFO,0.3,21,28.57
FIFO,0.3,22,22.28
FIFO,0.3,23,24.97
FIFO,0.3,24,27.17
FIFO,0.3,25,23.87
FIFO,0.3,26,23.03
FIFO,0.3,27,20.13
FIFO,0.3,28,21.51
FIFO,0.3,29,20.58
FIFO,0.1,0,2.11
FIFO,0.1,0,1.77
FIFO,0.1,0,13.16
FIFO,0.2,0,2.78
FIFO,0.1,0,101.99
FIFO,0.1,0,3.12
FIFO,0.1,0,1.81
FIFO,0.1,0,2.41
FIFO,0.1,0,2.52
FIFO,0.1,0,3.16
